"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:30:00::"	"is"	"and"	"wire"	"susie"	"wire_is"	"is_and"	"and_susie"	"last_wire_is"	"wire_is_and"	"is_and_susie"	"and_susie_walk"	"JJ"	"NN"	"VBZ"	"VB"	"CC"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"come"	"the"	"time"	"the"	"last"	"wire"	"is"	"remove"	"and"	"susie"	"walk"	"out"	"a"	"healthier"	"and"	"more"	"attractive"	"girl"	"than"	"when"	"she"	"first"	"go"	"to"	"the"	"orthodontist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"he"	"his"	"and"	"arm"	"and_he"	"he_his"	"his_arm"	"now_and_he"	"and_he_his"	"he_his_arm"	"his_arm_from"	"RB"	"CC"	"PRP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dave"	"have"	"the"	"latch"	"his"	"thumb"	"now"	"and"	"he"	"remove"	"his"	"arm"	"from"	"his"	"wife"	"in_order_to"	"pull"	"the"	"door"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"help"	"the"	"could"	"label"	"could_help"	"help_the"	"the_label"	"legislation_could_help"	"could_help_the"	"help_the_label"	"the_label_of"	"NN"	"MD"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"states"	"that"	"have"	"pass"	"laws"	"prevent"	"discrimination"	"in"	"the"	"sale"	"or"	"rental"	"of"	"support"	"by"	"real_estate"	"associations"	"for"	"compliance"	"and"	"broadened"	"coverage"	"through"	"additional"	"legislation"	"could"	"help"	"remove"	"the"	"label"	"of"	"social"	"reformism"	"that"	"most"	"realtors"	"individually"	"seem"	"determined"	"to"	"avoid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"one"	")"	"of"	")_to"	"to_one"	"one_of"	"2_)_to"	")_to_one"	"to_one_of"	"one_of_the"	"CD"	"ε"	"TO"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"two"	"methods"	"of"	"breach"	"the"	"conservative"	"barriers"	"around"	"the"	"rules_committee"	"to"	"pack"	"it"	"additional"	"liberals"	"and"	"break"	"the"	"conservative-liberal"	"deadlock"	"or"	"to"	"remove"	"one"	"of"	"the"	"conservatives"	"namely"	"mississippi"	"term"	"william_meyers_colmer"	"pronounce"	"calmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	":"	"wooden"	")"	"design"	")_:"	":_wooden"	"wooden_design"	"left_)_:"	")_:_wooden"	":_wooden_design"	"wooden_design_head"	"RB"	"ε"	"ε"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"opposite"	"page"	"top"	"remove"	"wooden"	"design"	"head"	"from"	"bowl"	"of"	"butter"	"mold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"pin"	"make"	"prick"	"make_to"	"to_pin"	"pin_prick"	"were_make_to"	"make_to_pin"	"to_pin_prick"	"pin_prick_from"	"VBD"	"VB"	"TO"	"VB"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strenuous"	"efforts"	"make"	"to"	"remove"	"pin"	"prick"	"from"	"administration"	"statements"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"you"	"the"	"if"	"main"	"if_you"	"you_the"	"the_main"	",_if_you"	"if_you_the"	"you_the_main"	"the_main_drain"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"hours"	"of"	"spring_cleaning"	"will"	"save"	"however"	"if"	"you"	"remove"	"the"	"main"	"drain"	"grate"	"when"	"you"	"close"	"the"	"pool"	"season"	"in"	"the"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"a"	"retaliation"	"grave"	"retaliation_,"	",_a"	"a_grave"	"massive_retaliation_,"	"retaliation_,_a"	",_a_grave"	"a_grave_danger"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rusk"	"belief"	"in"	"balanced"	"defense"	"replace"	"dulles"	"theory"	"of"	"massive"	"retaliation"	"remove"	"a"	"grave"	"danger"	"that"	"has"	"exist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"been"	"by"	"has"	"sargent_shriver"	"has_been"	"been_by"	"by_sargent_shriver"	"applicants_has_been"	"has_been_by"	"been_by_sargent_shriver"	"by_sargent_shriver_,"	"NNS"	"VBZ"	"VBN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"much"	"of"	"the"	"glamor"	"president_kennedy"	"peace_corps"	"may"	"hold"	"for"	"some"	"prospective"	"applicants"	"has"	"been"	"remove"	"by"	"sargent_shriver"	"the"	"head"	"corpsman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	"steps"	"former"	"steps_to"	"to_a"	"a_former"	"take_steps_to"	"steps_to_a"	"to_a_former"	"a_former_batista"	"VB"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"white_house"	"itself"	"take"	"steps"	"to"	"remove"	"a"	"former"	"batista"	"official"	"col._mariano_faget"	"from"	"his"	"preposterous"	"as"	"interrogator"	"of"	"cuban"	"refugees"	"for"	"the"	"immigration_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
