"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:30:00::"	"and"	"clockwise"	"on_the_left"	"around"	"on_the_left_and"	"and_clockwise"	"clockwise_around"	"begin_on_the_left_and"	"on_the_left_and_clockwise"	"and_clockwise_around"	"clockwise_around_the"	"VB"	"RB"	"CC"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"tour"	"around"	"the"	"stacks"	"he"	"that"	"the"	"earliest"	"volumes"	"begin"	"on_the_left"	"and"	"progress"	"clockwise"	"around"	"the"	"room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"in"	"florida"	"a"	"florida_has"	"has_in"	"in_a"	"that_florida_has"	"florida_has_in"	"has_in_a"	"in_a_sound"	"IN"	"NNP"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"committee"	"continue"	"to"	"that"	"florida"	"has"	"progress"	"in"	"a"	"sound"	"and"	"equitable"	"program"	"at"	"both"	"the"	"state"	"and"	"local"	"levels"	"in"	"its"	"efforts"	"to"	"review"	"and"	"assess"	"transition"	"problems"	"as"	"they"	"arise"	"from_time_to_time"	"in"	"the"	"entire"	"spectrum"	"of"	"civil_rights"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"trial"	"for"	"the"	"any"	"the_trial"	"trial_for"	"for_any"	"as_the_trial"	"the_trial_for"	"trial_for_any"	"for_any_hint"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"study"	"welch"	"as"	"the"	"trial"	"progress"	"for"	"any"	"hint"	"which"	"might"	"give"	"me"	"a"	"lead"	"as"	"to"	"how"	"he"	"might"	"be"	"thwart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"scientific"	"."	"of"	"∅"	"of_scientific"	"scientific_."	"._∅"	"pace_of_scientific"	"of_scientific_."	"scientific_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"the"	"task"	"of"	"provide"	"a"	"reasonable"	"level"	"of"	"military"	"strength"	"without"	"endanger"	"vital"	"aspect"	"of"	"our"	"security"	"is"	"greatly"	"complicate"	"by"	"the"	"swift"	"of"	"scientific"	"progress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"rapid"	"or"	"unexpectedly"	"a"	"unexpectedly_rapid"	"rapid_or"	"or_a"	",_unexpectedly_rapid"	"unexpectedly_rapid_or"	"rapid_or_a"	"or_a_technological"	"ε"	"RB"	"JJ"	"NN"	"CC"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"rapid"	"progress"	"or"	"a"	"technological"	"breakthrough"	"on"	"any"	"one"	"weapon_system"	"in"	"itself"	"often"	"diminish"	"the"	"relative"	"importance"	"of"	"competitive"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"towards"	"live"	"a"	"live_,"	",_towards"	"towards_a"	"had_live_,"	"live_,_towards"	",_towards_a"	"towards_a_no-goal"	"VBD"	"VB"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"fifty-five"	"year"	"had"	"live"	"progress"	"towards"	"a"	"no-goal"	"eat"	"work"	"breathe"	"without"	"plan"	"without"	"reason"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"'s"	"was"	"supervisor"	"chart"	"supervisor_'s"	"'s_was"	"was_chart"	"the_supervisor_'s"	"supervisor_'s_was"	"'s_was_chart"	"was_chart_."	"DT"	"NN"	"POS"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"every"	"session"	"the"	"check_mark"	"were"	"total"	"up"	"and"	"and"	"in"	"this"	"way"	"the"	"supervisor"	"progress"	"was"	"chart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"technological"	","	"for"	"the"	"for_technological"	"technological_,"	",_the"	"foundation_for_technological"	"for_technological_,"	"technological_,_the"	",_the_group"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"NNP"	"the"	"basic"	"program"	"in"	"wavelength"	"standard"	"spectroscopy"	"solid-state"	"physics"	"interaction"	"of"	"the"	"free"	"electron"	"and"	"atomic"	"constant"	"which"	"be"	"necessary"	"to"	"provide"	"the"	"foundation"	"for"	"technological"	"the"	"group"	"has"	"strengthen"	"its"	"activity"	"in"	"laboratory"	"astrophysics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"school"	","	"of"	"and"	"of_school"	"school_,"	",_and"	"aspect_of_school"	"of_school_,"	"school_,_and"	",_and_the"	"NN"	"IN"	"NN"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"primary"	"grade"	"reading"	"almost"	"every"	"aspect"	"of"	"school"	"progress"	"and"	"the"	"child"	"early"	"experience"	"of"	"success"	"or"	"failure"	"in"	"learn"	"to"	"read"	"often"	"set"	"a"	"pattern"	"of"	"total"	"achievement"	"that"	"be"	"relatively"	"enduring"	"throughout"	"the"	"following"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"of"	"∅"	"science"	"∅_the"	"the_of"	"of_science"	"∅_∅_the"	"∅_the_of"	"the_of_science"	"of_science_over"	"ε"	"ε"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"progress"	"of"	"science"	"over"	"these"	"last"	"few"	"century"	"and"	"the"	"gradual"	"replacement"	"of"	"biblical"	"by"	"scientific"	"category"	"of"	"reality"	"have"	"to"	"a"	"large"	"extent"	"empty"	"the"	"spirit_world"	"of"	"the"	"entity"	"which"	"previously"	"populate"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
