"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"
"2:30:01::"	"∅"	"the"	"∅"	"number"	"∅_∅"	"∅_the"	"the_number"	"∅_∅_∅"	"∅_∅_the"	"∅_the_number"	"the_number_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"number"	"of"	"classes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:09::"	"sales"	"beyond"	"machinery"	"the"	"machinery_sales"	"sales_beyond"	"beyond_the"	"farm_machinery_sales"	"machinery_sales_beyond"	"sales_beyond_the"	"beyond_the_farm"	"NN"	"NN"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"significance"	"of"	"the"	"in"	"farm"	"machinery"	"sales"	"extend"	"beyond"	"the"	"farm"	"equipment"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"satin"	"down"	"green"	"the"	"green_satin"	"satin_down"	"down_the"	"bright_green_satin"	"green_satin_down"	"satin_down_the"	"down_the_back"	"JJ"	"JJ"	"NN"	"VB"	"RB"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mother"	"of"	"young"	"queen"	"mrs._g._henry_pierson_jr."	"choose"	"a"	"white"	"brocade"	"gown"	"make"	"slim"	"lines"	"with"	"panels"	"of"	"tomato-red"	"and"	"bright"	"green"	"satin"	"extend"	"down"	"the"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	","	"beyond"	"however"	"considerations"	"however_,"	",_beyond"	"beyond_considerations"	",_however_,"	"however_,_beyond"	",_beyond_considerations"	"beyond_considerations_of"	"ε"	"RB"	"ε"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"relevant"	"facts"	"however"	"beyond"	"considerations"	"of"	"property"	"values"	"and"	"maintenance"	"of"	"harmonious"	"neighborhoods"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	"attempt"	"anti-trust"	"attempt_to"	"to_the"	"the_anti-trust"	"was_attempt_to"	"attempt_to_the"	"to_the_anti-trust"	"the_anti-trust_act"	"VBD"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paradoxically"	"the"	"same"	"week"	"senator_mcclellan"	"was"	"attempt"	"to"	"extend"	"the"	"anti-trust"	"act"	"to"	"labor"	"in"	"transportation"	"the"	"civil_aeronautics_board"	"was"	"assure"	"the"	"airlines"	"that"	"if"	"they"	"meet"	"in_concert"	"to"	"eliminate"	"many"	"costly"	"features"	"of"	"air_travel"	"the"	"action"	"would"	"not"	"be"	"deem"	"a"	"violation"	"of"	"the"	"anti-trust"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"have"	"the"	"choreographers"	"scope"	"choreographers_have"	"have_the"	"the_scope"	"avant-garde_choreographers_have"	"choreographers_have_the"	"have_the_scope"	"the_scope_of"	"JJ"	"NNS"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"the"	"choreographers"	"have"	"extend"	"the"	"scope"	"of"	"materials"	"available"	"for"	"dance"	"composition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	","	"an"	"welcoming"	"enchanted"	"welcoming_,"	",_an"	"an_enchanted"	"freely_welcoming_,"	"welcoming_,_an"	",_an_enchanted"	"an_enchanted_hand"	"RB"	"JJ"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"forest"	"be"	"and"	"freely"	"welcoming"	"extend"	"an"	"enchanted"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"for_the_purpose_of"	"knowledge"	"form"	"of"	"form_for_the_purpose_of"	"for_the_purpose_of_knowledge"	"knowledge_of"	"was_form_for_the_purpose_of"	"form_for_the_purpose_of_knowledge"	"for_the_purpose_of_knowledge_of"	"knowledge_of_the"	"VBD"	"VB"	"RB"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"state_ballet"	"of"	"rhode_island"	"the"	"first"	"group"	"was"	"form"	"for_the_purpose_of"	"extend"	"knowledge"	"of"	"the"	"art"	"of"	"ballet"	"in"	"the"	"community"	"to"	"promote"	"interest"	"in"	"ballet"	"performances"	"to"	"contribute"	"to"	"the"	"cultural"	"life"	"of"	"the"	"state"	"and"	"to"	"provide"	"opportunity"	"for"	"gifted"	"dance"	"students"	"who"	"for"	"one"	"reason"	"or"	"another"	"be"	"unable"	"to"	"pursue"	"a"	"career"	"and"	"to"	"develop"	"for"	"the"	"professional"	"state"	"and"	"now"	"therefore"	"do"	"i"	"john_a._notte"	"jr."	"governor"	"of"	"the"	"state"	"of"	"rhode_island"	"and"	"providence"	"plantations"	"proclaim"	"the"	"week"	"of"	"monday"	"november"	"as"	"the"	"state_ballet"	"of"	"rhode_island"	"week"	"request"	"all"	"rhode_islanders"	"to"	"give"	"special"	"attention"	"to"	"this"	"unusual"	"event"	"which"	"should"	"contribute"	"to"	"the"	"cultural"	"life"	"of"	"the"	"state"	
"2:40:04::"	"may"	"their"	"so"	"remarks"	"so_may"	"may_their"	"their_remarks"	"do_so_may"	"so_may_their"	"may_their_remarks"	"their_remarks_at"	"VB"	"RB"	"MD"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._speaker"	"i"	"ask"	"unanimous"	"consent"	"that"	"all"	"who"	"desire"	"to"	"do"	"so"	"may"	"extend"	"their"	"remarks"	"at"	"this"	"point"	"in"	"the"	"record"	"and"	"also"	"that"	"they"	"may"	"have"	"legislative"	"days"	"in_which"	"to"	"extend"	"their"	"remarks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:04::"	"to"	"their"	"in_which"	"remarks"	"in_which_to"	"to_their"	"their_remarks"	"days_in_which_to"	"in_which_to_their"	"to_their_remarks"	"their_remarks_."	"NNS"	"RB"	"TO"	"VB"	"PRP$"	"NNS"	"ε"	"ask"	"unanimous"	"consent"	"that"	"all"	"members"	"who"	"desire"	"to"	"do"	"so"	"may"	"extend"	"their"	"remarks"	"at"	"this"	"point"	"in"	"the"	"record"	"and"	"also"	"that"	"they"	"may"	"have"	"legislative"	"days"	"in_which"	"to"	"their"	"remarks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
