"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:35:00::"	"do"	"barbecue"	"∅"	"fire"	"∅_do"	"do_barbecue"	"barbecue_fire"	"∅_∅_do"	"∅_do_barbecue"	"do_barbecue_fire"	"barbecue_fire_bowl"	"ε"	"ε"	"VBP"	"VB"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"line"	"barbecue"	"fire"	"bowl"	"with"	"heavy"	"foil"	"to"	"reflect"	"heat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"the"	","	"move_into"	"ready"	"move_into_the"	"the_,"	",_ready"	"was_move_into_the"	"move_into_the_,"	"the_,_ready"	",_ready_for"	"VBD"	"VB"	"DT"	"NN"	"ε"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"a"	"month"	"after"	"the"	"korean_war"	"the"	"group"	"was"	"move_into"	"the"	"line"	"ready"	"for"	"combat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"electrical"	"be"	"and"	"available"	"and_electrical"	"electrical_be"	"be_available"	",_and_electrical"	"and_electrical_be"	"electrical_be_available"	"be_available_in"	"ε"	"CC"	"JJ"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"find_out"	"whether"	"fire"	"protection"	"sewage_system"	"gas"	"and"	"electrical"	"line"	"be"	"available"	"in"	"the"	"locality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"of"	"."	"out"	"∅"	"out_of"	"of_."	"._∅"	"him_out_of"	"out_of_."	"of_._∅"	"._∅_∅"	"PRP"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"been"	"lay"	"for"	"person"	"for"	"a"	"just"	"wait"	"to"	"catch"	"him"	"out"	"of"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"pencil"	"on_paper"	"make"	"and"	"make_pencil"	"pencil_on_paper"	"on_paper_and"	"and_make_pencil"	"make_pencil_on_paper"	"pencil_on_paper_and"	"on_paper_and_say"	"CC"	"VB"	"NN"	"NN"	"RB"	"CC"	"VB"	"with"	"a"	"sketch_pad"	"in"	"hand"	"sit"	"with"	"a"	"large"	"pink"	"woman"	"in"	"a"	"small"	"office"	"at"	"the"	"end"	"of"	"a"	"long"	"dim"	"corridor"	"and"	"make"	"pencil"	"on_paper"	"and"	"say"	"is"	"this"	"more"	"like"	"it"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"our"	"remain_firm"	"have"	"-"	"have_our"	"our_remain_firm"	"remain_firm_-"	"europe_have_our"	"have_our_remain_firm"	"our_remain_firm_-"	"remain_firm_-_and"	"NN"	"VBP"	"PRP$"	"NN"	"VB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"in"	"have"	"our"	"line"	"remain_firm"	"and"	"there"	"only"	"on"	"the"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"long"	"communication"	"basic"	"in"	"basic_long"	"long_communication"	"communication_in"	"∅_basic_long"	"basic_long_communication"	"long_communication_in"	"communication_in_alaska"	"ε"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"line"	"communication"	"in"	"alaska"	"are"	"now"	"provide"	"through"	"federal"	"facility"	"operate"	"by"	"the"	"army"	"air_force"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:02::"	"alternative"	"of"	"of"	"action"	"of_alternative"	"alternative_of"	"of_action"	"compass_of_alternative"	"of_alternative_of"	"alternative_of_action"	"of_action_,"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"is"	"already"	"begin"	"box"	"the"	"compass"	"of"	"alternative"	"line"	"of"	"action"	"include"	"do"	"nothing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"black"	"of"	"the"	"the"	"the_black"	"black_of"	"of_the"	"see_the_black"	"the_black_of"	"black_of_the"	"of_the_open"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"she"	"was"	"talk"	"of"	"when"	"she"	"see"	"the"	"black"	"line"	"of"	"the"	"open"	"door"	"person"	"remember"	"it"	"clearly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"hydrogen"	"at"	"well-known"	"21"	"well-known_hydrogen"	"hydrogen_at"	"at_21"	"the_well-known_hydrogen"	"well-known_hydrogen_at"	"hydrogen_at_21"	"at_21_cm"	"DT"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"well-known"	"hydrogen"	"line"	"at"	"cm"	"wavelength"	"the"	"spectrum"	"of"	"extraterrestrial"	"radio_source"	"may"	"contain"	"sharp"	"line"	"characteristic"	"of"	"atom"	"ion"	"and"	"small"	"molecule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
