"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:41:00::"	"to"	"this"	"∅"	"would"	"∅_to"	"to_this"	"this_would"	"∅_∅_to"	"∅_to_this"	"to_this_would"	"this_would_necessitate"	"ε"	"ε"	"TO"	"VB"	"DT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"accomplish"	"this"	"would"	"necessitate"	"some"	"changes"	"in"	"methods"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"can"	"some"	"mayor-elect_cavanagh"	"things"	"mayor-elect_cavanagh_can"	"can_some"	"some_things"	"perhaps_mayor-elect_cavanagh_can"	"mayor-elect_cavanagh_can_some"	"can_some_things"	"some_things_that"	"RB"	"NNP"	"MD"	"VB"	"DT"	"NNS"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"surprised"	"at"	"mayor_miriani"	"but"	"perhaps"	"mayor-elect_cavanagh"	"can"	"accomplish"	"some"	"things"	"that"	"should"	"have"	"been"	"do"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"move"	"this"	"the"	"."	"the_move"	"move_this"	"this_."	"just_the_move"	"the_move_this"	"move_this_."	"this_._∅"	"RB"	"DT"	"NN"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"rather"	"resent"	"she"	"say"	"you"	"speak_to"	"those"	"groups"	"in"	"as"	"though"	"just"	"the"	"move"	"accomplish"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"by"	"can"	"several"	"can_be"	"be_by"	"by_several"	"this_can_be"	"can_be_by"	"be_by_several"	"by_several_logical"	"DT"	"MD"	"VB"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"accomplish"	"by"	"several"	"logical"	"steps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"without"	"could"	"the"	"could_be"	"be_without"	"without_the"	"this_could_be"	"could_be_without"	"be_without_the"	"without_the_tremendous"	"DT"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"accomplish"	"without"	"the"	"tremendous"	"expenditures"	"necessitate"	"by"	"the"	"schuylkill_expressway"	"and"	"without"	"destroy"	"the"	"natural"	"beauty"	"of"	"the"	"east_river_drive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"in_two_ways"	"will"	":"	"will_be"	"be_in_two_ways"	"in_two_ways_:"	"it_will_be"	"will_be_in_two_ways"	"be_in_two_ways_:"	"in_two_ways_:_∅"	"PRP"	"MD"	"VB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"accomplish"	"in_two_ways"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"must"	"its"	"it"	"payroll"	"it_must"	"must_its"	"its_payroll"	",_it_must"	"it_must_its"	"must_its_payroll"	"its_payroll_reduction"	"ε"	"PRP"	"MD"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"railroad"	"cannot"	"reduce"	"the"	"salary"	"individual"	"union_members"	"under"	"contract"	"it"	"must"	"accomplish"	"its"	"payroll"	"reduction"	"by"	"place"	"some"	"of"	"the"	"men"	"on"	"furlough"	"a"	"b."	"o."	"spokesman"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"relatively"	"could"	"easy"	"could_be"	"be_relatively"	"relatively_easy"	"period_could_be"	"could_be_relatively"	"be_relatively_easy"	"relatively_easy_for"	"NN"	"MD"	"VB"	"VB"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"adjustment"	"to"	"a"	"uniform"	"coordinated"	"fiscal"	"period"	"could"	"be"	"accomplish"	"relatively"	"easy"	"for"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"in_order"	"purpose"	"in_order_to"	"to_the"	"the_purpose"	"∅_in_order_to"	"in_order_to_the"	"to_the_purpose"	"the_purpose_of_this"	"ε"	"RB"	"RB"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"shall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"of"	"the"	"promise"	"purpose"	"promise_of"	"of_the"	"the_purpose"	"great_promise_of"	"promise_of_the"	"of_the_purpose"	"the_purpose_of_this"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NN"	"RB"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
