"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"1:28:01::"	"in"	"''"	"'s"	","	"'s_in"	"in_''"	"''_,"	"springfield_'s_in"	"'s_in_''"	"in_''_,"	"''_,_person"	"NN"	"POS"	"IN"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"springfield"	"tomorrow"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"where"	"'s"	"be"	"commonplace"	"be_where"	"where_'s"	"'s_commonplace"	"this_be_where"	"be_where_'s"	"where_'s_commonplace"	"'s_commonplace_equipment"	"DT"	"VB"	"WRB"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"this"	"article"	"will"	"concentrate_on"	"the"	"advance"	"in"	"the"	"application"	"of"	"in"	"biomedical"	"research"	"laboratory"	"because"	"this"	"be"	"where"	"tomorrow"	"commonplace"	"equipment"	"originate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"then"	"he"	"and"	"would"	"and_then"	"then_he"	"he_would"	"rehearsal_and_then"	"and_then_he"	"then_he_would"	"he_would_marry"	"NN"	"RB"	"RB"	"RB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"person"	"would"	"be"	"in"	"memphis"	"for"	"the"	"wedding"	"rehearsal"	"and"	"then"	"tomorrow"	"he"	"would"	"marry"	"just"	"like"	"everybody"	"know"	"he"	"would"	"just"	"like"	"everybody"	"know"	"all_along"	
"1:28:00::"	"bonfire"	"night"	"the"	","	"the_bonfire"	"bonfire_night"	"night_,"	"on_the_bonfire"	"the_bonfire_night"	"bonfire_night_,"	"night_,_i"	"IN"	"DT"	"NN"	"NN"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"you"	"pile"	"your"	"guy"	"the"	"bonfire"	"tomorrow"	"night"	"i"	"wonder"	"how"	"much"	"of"	"the"	"true"	"story"	"of"	"person"	"you"	"will"	"remember"	"0"	"0"	"0"	"0"	
"1:28:01::"	"here"	"for"	"in"	"a"	"in_here"	"here_for"	"for_a"	"come_in_here"	"in_here_for"	"here_for_a"	"for_a_night_game"	"VB"	"VB"	"RB"	"NN"	"IN"	"DT"	"NN"	"group"	"are"	"to"	"break"	"their"	"losing_streak"	"within"	"the"	"next"	"two"	"day"	"it"	"will"	"have"	"to"	"be"	"at_the_expense_of"	"the"	"group"	"champion"	"new_york"	"group"	"who"	"come"	"here"	"for"	"a"	"night_game"	"and"	"a"	"single"	"test"	"sunday"	"afternoon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"opening"	"night"	"the"	"of"	"the_opening"	"opening_night"	"night_of"	"to_the_opening"	"the_opening_night"	"opening_night_of"	"night_of_a"	"TO"	"DT"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"will"	"engage"	"in"	"his"	"first"	"at"	"location"	"prior"	"to"	"the"	"opening"	"tomorrow"	"night"	"of"	"a"	"two"	"game"	"weekend"	"series"	"with"	"the"	"new_york"	"group"	"0"	"0"	"0"	
"1:28:01::"	"in"	"'s"	"champion"	"8"	"champion_in"	"in_'s"	"'s_8"	"group_champion_in"	"champion_in_'s"	"in_'s_8"	"'s_8_pm"	"NNP"	"NN"	"IN"	"NN"	"POS"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"the"	"group"	"veteran"	"knuckleball"	"specialist"	"are"	"to"	"oppose"	"the"	"group"	"champion"	"in"	"tomorrow"	"pm"	"contest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"operation"	"at"	"knee"	"group"	"knee_operation"	"operation_at"	"at_group"	"a_knee_operation"	"knee_operation_at"	"operation_at_group"	"at_group_here"	"DT"	"NN"	"NN"	"NN"	"IN"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"location"	"relief"	"quarterback"	"for"	"the"	"san_francisco"	"group"	"of"	"group"	"will"	"undergo"	"a"	"knee"	"operation"	"tomorrow"	"at"	"group"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"``"	"."	"∅"	"∅"	"∅_``"	"``_."	"._∅"	"∅_∅_``"	"∅_``_."	"``_._∅"	"._∅_∅"	"ε"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"him"	"''"	"with"	","	"with_him"	"him_''"	"''_,"	"go_with_him"	"with_him_''"	"him_''_,"	"''_,_she"	"VB"	"VB"	"PRP"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"want"	"me"	"go"	"with"	"him"	"tomorrow"	"she"	"tell"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
