"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:42:01::"	"you"	"it"	"``"	"''"	"``_you"	"you_it"	"it_''"	"∅_``_you"	"``_you_it"	"you_it_''"	"it_''_,"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miss"	"it"	"buzz"	"voice"	"say"	"you"	"should"	"have"	"go"	"over"	"to"	"the"	"pagan_room"	"with"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"from"	"some"	"late-comers"	"of"	"late-comers_from"	"from_some"	"some_of"	"prevent_late-comers_from"	"late-comers_from_some"	"from_some_of"	"some_of_the"	"VB"	"NNS"	"IN"	"VB"	"DT"	"IN"	"DT"	"musicians"	"at_this_place"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"."	"impossible"	"∅"	"impossible_to"	"to_."	"._∅"	"be_impossible_to"	"impossible_to_."	"to_._∅"	"._∅_∅"	"VB"	"JJ"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"merchant_ships"	"illuminate"	"in"	"the"	"light"	"of"	"the"	"flares"	"make"	"to"	"seem"	"like"	"imbed"	"in"	"a"	"lake"	"of"	"polished"	"mud"	"be"	"impossible"	"to"	"miss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"am"	"some"	"i"	"elementary"	"i_am"	"am_some"	"some_elementary"	"suppose_i_am"	"i_am_some"	"am_some_elementary"	"some_elementary_point"	"VB"	"PRP"	"VBP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"i"	"am"	"miss"	"some"	"elementary"	"point"	"but"	"i"	"honestly"	"cannot"	"see"	"how"	"two"	"wrongs"	"can"	"make"	"a"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"they"	"the"	"vacations"	"hot_cereal"	"vacations_they"	"they_the"	"the_hot_cereal"	"for_vacations_they"	"vacations_they_the"	"they_the_hot_cereal"	"the_hot_cereal_."	"IN"	"NNS"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"they"	"for"	"vacations"	"they"	"miss"	"the"	"hot_cereal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"n't"	"coverage"	"do"	"of"	"do_n't"	"n't_coverage"	"coverage_of"	"new_york_city_do_n't"	"do_n't_coverage"	"n't_coverage_of"	"coverage_of_the"	"NN"	"VBP"	"RB"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"tips"	"for"	"shooting"	"in"	"locales"	"in"	"new_york_city"	"do"	"n't"	"miss"	"coverage"	"of"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"to"	"a"	"want"	"visit"	"want_to"	"to_a"	"a_visit"	"n't_want_to"	"want_to_a"	"to_a_visit"	"a_visit_to"	"RB"	"VB"	"VB"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"while"	"in_this"	"vicinity"	"won"	"n't"	"want"	"to"	"miss"	"a"	"visit"	"to"	"mount_rushmore_national_memorial"	"where"	"on_the_side"	"of"	"a"	"mountain"	"be"	"the"	"famous"	"sculptures"	"of"	"presidents"	"washington"	"lincoln"	"jefferson"	"and"	"theodore_roosevelt"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"excellent_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"JJ"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"pick_out"	"particular"	"numbers"	"be"	"something"	"of"	"a"	"problem"	"but"	"or"	"two"	"identifiable"	"items"	"be"	"too"	"conspicuously"	"excellent"	"to"	"be"	"miss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"narrowly"	"him"	","	"."	",_narrowly"	"narrowly_him"	"him_."	"say_,_narrowly"	",_narrowly_him"	"narrowly_him_."	"him_._∅"	"VB"	"ε"	"RB"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kimmell"	"order"	"the"	"driver"	"to"	"back_up"	"watch"	"children"	"safely"	"across"	"and"	"was"	"approach"	"the"	"car"	"when"	"it"	"suddenly"	"at"	"high"	"speed"	"he"	"say"	"narrowly"	"miss"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"just"	"two"	","	"parked"	",_just"	"just_two"	"two_parked"	"around_,_just"	",_just_two"	"just_two_parked"	"two_parked_cars"	"RB"	"ε"	"RB"	"VB"	"CD"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"jenks"	"street"	"simms"	"say"	"the"	"skid"	"completely"	"around"	"just"	"miss"	"two"	"parked"	"cars"	"and"	"speed"	"east"	"in"	"jenks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
