"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:32:00::"	"at_least"	"beforehand"	"without"	"."	"without_at_least"	"at_least_beforehand"	"beforehand_."	"or_without_at_least"	"without_at_least_beforehand"	"at_least_beforehand_."	"beforehand_._∅"	"CC"	"IN"	"RB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"friends"	"are"	"to"	"arrive"	"an"	"invitation"	"or"	"without"	"at_least"	"telephone"	"beforehand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	";"	"pick_up"	"get"	"pick_up_the"	"the_;"	";_get"	"person_pick_up_the"	"pick_up_the_;"	"the_;_get"	";_get_person"	"NNP"	"VB"	"DT"	"NN"	"ε"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"telephone"	"get"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"ring"	"∅"	"."	"∅_the"	"the_ring"	"ring_."	"∅_∅_the"	"∅_the_ring"	"the_ring_."	"ring_._∅"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"telephone"	"ring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"and"	"remember"	"he"	"remember_to"	"to_and"	"and_he"	"to_remember_to"	"remember_to_and"	"to_and_he"	"and_he_turn_out"	"TO"	"VB"	"TO"	"VB"	"CC"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"be"	"at_least"	"enough"	"to"	"remember"	"to"	"telephone"	"and"	"he"	"turn_out"	"to"	"be"	"the"	"greatest"	"boon"	"that"	"had"	"come"	"into"	"person"	"life"	"since"	"he"	"move"	"to"	"location"	"in_spite_of"	"the"	"fact"	"that"	"he"	"did"	"n't"	"work"	"very"	"fast"	"or"	"very"	"long"	"at_a_time"	"and"	"he"	"did"	"n't"	"like"	"to"	"work"	"at_all"	"unless"	"person"	"hang_around"	"and"	"talk"	"to"	"him"	
"1:06:00::"	"the"	"interrupt"	"∅"	"him"	"∅_the"	"the_interrupt"	"interrupt_him"	"∅_∅_the"	"∅_the_interrupt"	"the_interrupt_him"	"interrupt_him_."	"ε"	"ε"	"DT"	"NN"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"telephone"	"interrupt"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mexican"	"person"	"a"	"that"	"a_mexican"	"mexican_person"	"person_that"	",_a_mexican"	"a_mexican_person"	"mexican_person_that"	"person_that_person"	"ε"	"DT"	"NN"	"VB"	"NNP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"the"	"next"	"a"	"mexican"	"telephone"	"person"	"that"	"person"	"one"	"of"	"the"	"member"	"be"	"surround"	"by"	"ten"	"mexican"	"at"	"his"	"father"	"home"	"on"	"the"	"upper"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had"	"group"	"he"	"for"	"he_had"	"had_group"	"group_for"	"me_he_had"	"he_had_group"	"had_group_for"	"group_for_ticket"	"PRP"	"PRP"	"VBD"	"VB"	"NNP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_couple_of"	"day"	"later"	"a"	"tell"	"me"	"he"	"had"	"telephone"	"group"	"for"	"ticket"	"information"	"and"	"was"	"tell"	"the"	"newspaper"	"had"	"make"	"a"	"mistake"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"and"	"on"	"make"	"on_the"	"the_and"	"and_make"	"person_on_the"	"on_the_and"	"the_and_make"	"and_make_a"	"NNP"	"IN"	"DT"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"afterwards"	"i"	"learn"	"that"	"had"	"call"	"person"	"on"	"the"	"telephone"	"and"	"make"	"a"	"big"	"scene"	"about"	"person"	"try"	"to"	"take_away"	"her"	"husband"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"bring"	"of"	"person"	"of_the"	"the_bring"	"bring_person"	"ring_of_the"	"of_the_bring"	"the_bring_person"	"bring_person_out"	"VB"	"IN"	"DT"	"NN"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"ring"	"of"	"the"	"telephone"	"bring"	"person"	"out"	"into"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"when"	"over"	"they"	"over_the"	"the_when"	"when_they"	"say_over_the"	"over_the_when"	"the_when_they"	"when_they_had"	"VB"	"IN"	"DT"	"NN"	"WRB"	"PRP"	"VBD"	"it"	"has"	"to"	"do"	"with"	"the"	"property"	"person"	"had"	"over"	"the"	"when"	"they"	"had"	"discuss"	"their"	"receipt"	"of"	"the"	"letter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
