"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:30:00::"	"will"	"unfairly"	"they"	"from"	"they_will"	"will_unfairly"	"unfairly_from"	"that_they_will"	"they_will_unfairly"	"will_unfairly_from"	"unfairly_from_the"	"IN"	"PRP"	"MD"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"some"	"members"	"of"	"the"	"two"	"industry"	"groups"	"doubtless"	"want"	"to"	"amend"	"their"	"codes"	"on"	"grounds"	"that"	"they"	"will"	"suffer"	"unfairly"	"from"	"the"	"efforts"	"of"	"non-code"	"competitors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"pride"	"when"	"her"	"the"	"her_pride"	"pride_when"	"when_the"	"shock_her_pride"	"her_pride_when"	"pride_when_the"	"when_the_japanese"	"NN"	"PRP$"	"NN"	"VB"	"WRB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"greater"	"reason"	"for"	"fumbling"	"stumbling"	"leadership"	"be"	"due_to"	"the"	"shock"	"her"	"pride"	"suffer"	"when"	"the"	"japanese"	"attack"	"at"	"pearl_harbor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	","	"it"	"him"	"to"	"him_,"	",_it"	"it_to"	"unto_him_,"	"him_,_it"	",_it_to"	"it_to_be"	"IN"	"PRP"	"ε"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"jesus"	"answer"	"unto"	"him"	"suffer"	"it"	"to"	"be"	"so"	"now"	"for"	"thus"	"it"	"becometh"	"us"	"to"	"fulfill"	"all"	"righteousness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"she"	"in"	"but"	"her"	"but_she"	"she_in"	"in_her"	"∅_but_she"	"but_she_in"	"she_in_her"	"in_her_off-duty"	"ε"	"CC"	"PRP"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"suffer"	"in"	"her"	"off-duty"	"hours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"art"	"drastically"	"my"	"during"	"my_art"	"art_drastically"	"drastically_during"	",_my_art"	"my_art_drastically"	"art_drastically_during"	"drastically_during_this"	"ε"	"PRP$"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"needless"	"to"	"my"	"art"	"suffer"	"drastically"	"during"	"this"	"turbulent"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	","	"multiple"	"union"	"fractures"	"union_,"	",_multiple"	"multiple_fractures"	"teamsters_union_,"	"union_,_multiple"	",_multiple_fractures"	"multiple_fractures_of"	"NNS"	"NN"	"ε"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"battalion_chief_stanton_m._gladden"	"the"	"central"	"figure"	"in"	"a"	"representation"	"dispute"	"between"	"fire_fighters"	"association"	"and"	"the"	"teamsters"	"union"	"suffer"	"multiple"	"fractures"	"of"	"both"	"ankles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"burns"	"in"	"of"	"a"	"of_burns"	"burns_in"	"in_a"	"holy_cross_hospital_of_burns"	"of_burns_in"	"burns_in_a"	"in_a_fire"	"NNP"	"IN"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._eleanor_kowalski"	"die"	"yesterday"	"afternoon"	"in"	"of"	"burns"	"suffer"	"in"	"a"	"fire"	"that"	"follow"	"a"	"bottled_gas"	"explosion"	"saturday"	"night"	"at"	"the"	"flat"	"of"	"her"	"widowed"	"mother"	"mrs._mary_pankowski"	"in"	"the"	"adjoin"	"suburb"	"of"	"warren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"who"	"?"	"those"	"∅"	"those_who"	"who_?"	"?_∅"	"with_those_who"	"those_who_?"	"who_?_∅"	"?_∅_∅"	"IN"	"DT"	"WP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"to"	"me"	"that"	"n._c."	"in"	"his"	"editorial"	"confrontation"	"sr"	"mar."	"has"	"hit"	"upon"	"the"	"real"	"problem"	"that"	"bother"	"all_of"	"us"	"in"	"a"	"complex"	"world"	"how"	"do"	"we"	"retain"	"our"	"personal"	"relationship"	"with"	"those"	"suffer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"injuries"	"when"	"with"	"a"	"with_injuries"	"injuries_when"	"when_a"	",_with_injuries"	"with_injuries_when"	"injuries_when_a"	"when_a_car"	"ε"	"IN"	"NNS"	"VB"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year-old"	"smithfield"	"man"	"lester_e._stone"	"of"	"beverly_circle"	"be"	"in"	"satisfactory"	"condition"	"last"	"night"	"our"	"lady"	"of"	"fatima_hospital"	"north_providence"	"with"	"injuries"	"suffer"	"when"	"a"	"car"	"he"	"was"	"drive"	"strike"	"a"	"utility"	"pole"	"on"	"woonasquatucket_avenue"	"in"	"north_providence"	"near"	"stevens_street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"mr._stone"	"fractured"	"∅"	"ribs"	"∅_mr._stone"	"mr._stone_fractured"	"fractured_ribs"	"∅_∅_mr._stone"	"∅_mr._stone_fractured"	"mr._stone_fractured_ribs"	"fractured_ribs_and"	"ε"	"ε"	"NNP"	"VB"	"JJ"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suffer"	"fractured"	"ribs"	"and"	"chest"	"cuts"	"hospital"	"authorities"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"not"	"for"	"probably"	"it"	"probably_not"	"not_for"	"for_it"	"would_probably_not"	"probably_not_for"	"not_for_it"	"for_it_:"	"MD"	"RB"	"RB"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"somehow"	"more"	"terrible"	"than"	"the"	"certainty"	"that"	"he"	"be"	"to"	"die"	"be"	"the"	"knowledge"	"that"	"person"	"would"	"probably"	"not"	"suffer"	"for"	"it"	"the"	"murder"	"would"	"go"	"unpunished"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"watercolor"	"because"	"most"	"the"	"most_watercolor"	"watercolor_because"	"because_the"	"that_most_watercolor"	"most_watercolor_because"	"watercolor_because_the"	"because_the_artist"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"thoroughly"	"that"	"most"	"watercolor"	"suffer"	"because"	"the"	"artist"	"expect"	"nature"	"will"	"do"	"his"	"composing"	"for"	"him"	"as"	"a"	"result"	"such"	"picture"	"be"	"only"	"a"	"literal"	"translation"	"of"	"what"	"the"	"artist"	"find"	"in"	"the"	"scene"	"before"	"him"	
"2:39:01::"	"performance"	"by"	"in"	"the"	"in_performance"	"performance_by"	"by_the"	"decrement_in_performance"	"in_performance_by"	"performance_by_the"	"by_the_highly"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"striking"	"aspect"	"of"	"the"	"demonstrate"	"be"	"the"	"marked"	"decrement"	"in"	"performance"	"suffer"	"by"	"the"	"highly"	"anxious"	"child"	"in"	"unstructured"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"will"	"in"	"child"	"the"	"child_will"	"will_in"	"in_the"	"anxious_child_will"	"child_will_in"	"will_in_the"	"in_the_test"	"JJ"	"NN"	"MD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"et_al."	"present"	"evidence"	"the"	"anxious"	"child"	"will"	"suffer"	"in"	"the"	"test"	"like"	"situation"	"and"	"that"	"his"	"performance"	"will"	"be"	"impair"	"unless"	"he"	"receive"	"supporting"	"and"	"accepting"	"treatment"	"from"	"the"	"teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
