"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"5:00:00:preceding(a):00"	"from"	"conception"	"differ"	"in"	"differ_from"	"from_conception"	"conception_in"	"communism_differ_from"	"differ_from_conception"	"from_conception_in"	"conception_in_which"	"NN"	"VB"	"IN"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"the"	"respect"	"indicate"	"utopian"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"two"	"legislature"	"by"	","	"by_two"	"two_legislature"	"legislature_,"	"rejection_by_two"	"by_two_legislature"	"two_legislature_,"	"legislature_,_in"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"person"	"personally"	"lead"	"the"	"fight"	"for"	"the"	"measure"	"which"	"he"	"had"	"water_down"	"considerably"	"its"	"rejection"	"by"	"two"	"previous"	"legislature"	"in"	"a"	"public"	"hearing"	"before"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"those"	"peak"	"pass"	"."	"pass_those"	"those_peak"	"peak_."	"going_to_pass_those"	"pass_those_peak"	"those_peak_."	"peak_._∅"	"VB"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"happy"	"under"	"new"	"manager"	"person"	"and"	"person"	"the"	"perfect"	"player"	"are"	"behave"	"as"	"though"	"they"	"going_to"	"pass"	"those"	"peak"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"nine"	"season"	"his"	"person"	"his_nine"	"nine_season"	"season_person"	"of_his_nine"	"his_nine_season"	"nine_season_person"	"season_person_hit"	"IN"	"PRP$"	"JJ"	"JJ"	"NN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"four"	"his"	"nine"	"previous"	"season"	"person"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:preceding(a):00"	"the"	"day"	"person"	"."	"person_the"	"the_day"	"day_."	"speak_to_person_the"	"person_the_day"	"the_day_."	"day_._∅"	"VB"	"NNP"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"had"	"person"	"the"	"previous"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:preceding(a):00"	"two"	"grand_jury"	"of"	","	"of_two"	"two_grand_jury"	"grand_jury_,"	"''_of_two"	"of_two_grand_jury"	"two_grand_jury_,"	"grand_jury_,_the"	"ε"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jury"	"say"	"it"	"find"	"the"	"court"	"has"	"incorporate"	"into"	"its"	"the"	"recommendation"	"of"	"two"	"previous"	"grand_jury"	"the"	"group"	"and"	"an"	"interim"	"citizens_committee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"a"	"dream"	"of"	","	"of_a"	"a_dream"	"dream_,"	"pattern_of_a"	"of_a_dream"	"a_dream_,"	"dream_,_we"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"man"	"recognize"	"a"	"certain"	"as"	"the"	"exact"	"pattern"	"of"	"a"	"previous"	"dream"	"we"	"have"	"an"	"instance"	"of"	"deja_vu"	"except"	"for"	"the"	"fact"	"that"	"he"	"know"	"just"	"why"	"the"	"experience"	"seem"	"familiar"	"0"	"0"	"0"	"0"	
"5:00:00:preceding(a):00"	"a"	"dream"	"of"	","	"of_a"	"a_dream"	"dream_,"	"pattern_of_a"	"of_a_dream"	"a_dream_,"	"dream_,_detail"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"one"	"day"	"person"	"come_upon"	"with"	"a"	"friend"	"upon"	"event"	"which"	"he"	"recognize"	"as"	"exact"	"pattern"	"of"	"a"	"previous"	"dream"	"detail"	"the"	"ensuing"	"occurrence"	"in_advance"	"so"	"accurately"	"that"	"his"	"companion"	"was"	"completely"	"mystify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:preceding(a):00"	"the"	"exercise"	"of"	"be"	"of_the"	"the_exercise"	"exercise_be"	"thigh_of_the"	"of_the_exercise"	"the_exercise_be"	"exercise_be_now"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"you"	"have"	"take_a_breather"	"reverse"	"the"	"position"	"leg"	"so_that"	"the"	"front"	"thigh"	"of"	"the"	"previous"	"exercise"	"be"	"now"	"to"	"the"	"rear"	"and"	"the"	"rear"	"thigh"	"now"	"to"	"the"	"front"	"and"	"perform"	"the"	"same"	"movement"	"in"	"the"	"same"	"manner"	
"5:00:00:preceding(a):00"	"∅"	"experience"	"∅"	"be"	"∅_∅"	"∅_experience"	"experience_be"	"∅_∅_∅"	"∅_∅_experience"	"∅_experience_be"	"experience_be_obviously"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experience"	"be"	"obviously"	"of"	"great"	"importance"	"for"	"the"	"qualitative"	"and"	"quantitative"	"emotional"	"response"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
