"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:06:02::"	"death"	","	"the"	"a"	"the_death"	"death_,"	",_a"	"of_the_death"	"the_death_,"	"death_,_a"	",_a_recovery"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"first"	"collective"	"confrontation"	"of"	"the"	"nazi"	"outrage"	"the"	"trial"	"of"	"person"	"represent"	"a"	"recovery"	"the"	"jew"	"from"	"the"	"of"	"the"	"death"	"camp"	"a"	"recovery"	"that"	"take"	"fifteen"	"year"	"and"	"which"	"be"	"still"	"by_no_means"	"complete"	"though"	"let"	"no"	"one"	"believe"	"that"	"it"	"could"	"be"	"hasten"	"by"	"silence"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"whole"	"exposed"	"the"	"to"	"the_whole"	"whole_exposed"	"exposed_to"	"with_the_whole"	"the_whole_exposed"	"whole_exposed_to"	"exposed_to_view"	"IN"	"DT"	"JJ"	"NN"	"JJ"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"whole"	"camp"	"exposed"	"to"	"view"	"we"	"could"	"see"	"the"	"variety"	"of"	"canvas"	"shelter"	"in"	"which"	"american"	"are"	"camp"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"are"	"now"	"american"	"."	"american_are"	"are_now"	"now_."	"which_american_are"	"american_are_now"	"are_now_."	"now_._∅"	"RB"	"NN"	"VBP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"whole"	"camp"	"exposed"	"to"	"view"	"we"	"could"	"the"	"variety"	"of"	"canvas"	"shelter"	"in"	"which"	"american"	"are"	"camp"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"around"	"we"	"move"	"see"	"move_around"	"around_we"	"we_see"	"∅_move_around"	"move_around_we"	"around_we_see"	"we_see_all"	"ε"	"VB"	"RB"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"around"	"camp"	"we"	"see"	"all"	"kind"	"of"	"camp"	"stove"	"lantern"	"cooler"	"bedding"	"game"	"fishing_tackle"	"windbreak"	"and"	"sunshade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"of"	"stove"	"kind"	","	"kind_of"	"of_stove"	"stove_,"	"all_kind_of"	"kind_of_stove"	"of_stove_,"	"stove_,_lantern"	"DT"	"NN"	"IN"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"move"	"around"	"camp"	"see"	"all"	"kind"	"of"	"camp"	"stove"	"lantern"	"cooler"	"bedding"	"game"	"fishing_tackle"	"windbreak"	"and"	"sunshade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"∅"	"meal"	"∅"	"be"	"∅_∅"	"∅_meal"	"meal_be"	"∅_∅_∅"	"∅_∅_meal"	"∅_meal_be"	"meal_be_no"	"ε"	"ε"	"ε"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meal"	"be"	"no"	"great"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"western"	"."	"the"	"∅"	"the_western"	"western_."	"._∅"	"in_the_western"	"the_western_."	"western_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"six"	"year"	"ago"	"location"	"though"	"in"	"be"	"in"	"the"	"western"	"camp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"western"	"."	"the"	"∅"	"the_western"	"western_."	"._∅"	"in_the_western"	"the_western_."	"western_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"middle_east"	"iraq"	"syria"	"and"	"egypt"	"be"	"a"	"while"	"ago"	"in"	"the"	"western"	"camp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"from"	"were"	"forth"	"usually"	"forth_from"	"from_were"	"were_usually"	"pour_forth_from"	"forth_from_were"	"from_were_usually"	"were_usually_write"	"VB"	"RB"	"IN"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"letter"	"pour"	"forth"	"from"	"camp"	"were"	"usually"	"write"	"under"	"adverse"	"circumstance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"a"	"nearby"	"set_up"	"."	"set_up_a"	"a_nearby"	"nearby_."	"was_set_up_a"	"set_up_a_nearby"	"a_nearby_."	"nearby_._∅"	"VBD"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"person"	"was"	"set_up"	"a"	"camp"	"nearby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
