"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:38:00::"	"market"	"saturation"	"shelter"	"and"	"shelter_market"	"market_saturation"	"saturation_and"	",_shelter_market"	"shelter_market_saturation"	"market_saturation_and"	"saturation_and_prospects"	"ε"	"NN"	"NN"	"VB"	"NN"	"CC"	"NNS"	"mention"	"by"	"one-third"	"or"	"more"	"of"	"the"	"builders"	"be"	"resistance"	"to"	"high"	"interest_rates"	"cost"	"advantage"	"of"	"buy"	"over"	"rent"	"has"	"narrow"	"shelter"	"market"	"saturation"	"and"	"prospects"	"unable"	"to"	"qualify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"are"	"their"	"roads"	"goals"	"roads_are"	"are_their"	"their_goals"	"all_roads_are"	"roads_are_their"	"are_their_goals"	"their_goals_."	"DT"	"NNS"	"VBP"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"investors"	"study"	"the"	"toll-road"	"bonds"	"for"	"find"	"that"	"not"	"all"	"roads"	"are"	"near"	"their"	"goals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"appear"	"a"	"laos"	"showdown"	"laos_appear"	"appear_a"	"a_showdown"	"in_laos_appear"	"laos_appear_a"	"appear_a_showdown"	"a_showdown_today"	"IN"	"NNP"	"VB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"in"	"laos"	"appear"	"near"	"a"	"showdown"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"∅"	"home"	"∅"	","	"∅_∅"	"∅_home"	"home_,"	"∅_∅_∅"	"∅_∅_home"	"∅_home_,"	"home_,_he"	"ε"	"ε"	"ε"	"VB"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"home"	"he"	"jerk"	"to"	"attention"	"at"	"the"	"distant"	"crack"	"of"	"a"	"gun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"is"	"completion"	"property"	"."	"property_is"	"is_completion"	"completion_."	"measure_property_is"	"property_is_completion"	"is_completion_."	"completion_._∅"	"VB"	"NN"	"VB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"development"	"and"	"testing"	"of"	"apparatus"	"to"	"measure"	"property"	"is"	"near"	"completion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	","	"discernible"	"or"	"discernible_,"	",_,"	",_or"	"just_discernible_,"	"discernible_,_,"	",_,_or"	",_or_enviably"	"RB"	"JJ"	"ε"	"JJ"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	
"3:00:00::"	"enviably"	"that"	"or"	"spot"	"or_enviably"	"enviably_that"	"that_spot"	",_or_enviably"	"or_enviably_that"	"enviably_that_spot"	"that_spot_where"	"ε"	"CC"	"RB"	"JJ"	"IN"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"still"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"so"	"that"	"be"	"it"	"be_so"	"so_that"	"that_it"	"which_be_so"	"be_so_that"	"so_that_it"	"that_it_seem"	"WDT"	"VB"	"RB"	"JJ"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gunfire"	"be"	"so"	"near"	"that"	"it"	"seem"	"just"	"a"	"piece"	"up"	"the"	"road"	"now"	"stop"	"for"	"long"	"enough"	"to"	"count"	"to"	"twenty"	"and"	"in"	"that"	"brief"	"interval"	"a"	"redcoat"	"officer"	"come"	"tear"	"down"	"the"	"road"	"whip"	"his"	"horse"	"fit"	"to"	"kill"	
"3:00:00::"	"location"	"location"	"the"	"."	"the_location"	"location_location"	"location_."	"on_the_location"	"the_location_location"	"location_location_."	"location_._∅"	"IN"	"DT"	"NNP"	"JJ"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"having"	"sleep"	"away"	"a"	"day"	"and"	"a"	"night"	"come"	"awake"	"a"	"plank"	"farmhouse"	"on"	"the"	"location"	"near"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"skiff"	"of"	"."	"of_the"	"the_skiff"	"skiff_."	"bow_of_the"	"of_the_skiff"	"the_skiff_."	"skiff_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"support"	"the"	"man"	"the"	"edge"	"of"	"the"	"bank"	"and"	"pass"	"frail"	"figure"	"over"	"the"	"bow"	"of"	"the"	"near"	"skiff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
