"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:31:00::"	"to"	"."	"continue"	"∅"	"continue_to"	"to_."	"._∅"	"corporations_continue_to"	"continue_to_."	"to_._∅"	"._∅_∅"	"NNS"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"on"	"the"	"right"	"track"	"in"	"the"	"sound"	"medium"	"there"	"has"	"be"	"excessive"	"emphasis"	"on"	"music"	"and"	"news"	"and"	"there"	"could"	"and"	"should"	"be"	"a"	"place"	"for"	"theatre"	"as"	"the"	"canadian"	"and"	"british"	"broadcasting"	"corporations"	"continue"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"∅"	"the"	"∅"	"primitive"	"∅_∅"	"∅_the"	"the_primitive"	"∅_∅_∅"	"∅_∅_the"	"∅_the_primitive"	"the_primitive_african"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"primitive"	"african"	"rhythmic"	"backgrounds"	"of"	"the_blues"	"be"	"michael_babatunde_olatunji"	"who"	"play"	"such"	"native"	"drums"	"as"	"the"	"konga"	"and"	"even"	"do"	"a"	"resounding"	"job"	"slap"	"his"	"own"	"chest"	"0"	
"2:31:00::"	"is"	"that"	"who"	"the"	"who_is"	"is_that"	"that_the"	"chairman_charles_o._emmerich_who_is"	"who_is_that"	"is_that_the"	"that_the_public"	"NNP"	"WP"	"VBZ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"that"	"such"	"expansion"	"can"	"be"	"obtain"	"without"	"a"	"raise"	"in"	"taxes"	"be_due"	"to"	"growth"	"of"	"the"	"tax"	"digest"	"and"	"sound"	"fiscal"	"planning"	"on"	"the"	"part"	"of"	"the"	"board"	"commissioners"	"head"	"by"	"who"	"is"	"demonstrate"	"that"	"the"	"public"	"trust"	"he"	"was"	"give"	"be"	"well"	"placed"	"and"	"county"	"officials"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"constantly"	"that"	"so"	"he"	"so_constantly"	"constantly_that"	"that_he"	"and_so_constantly"	"so_constantly_that"	"constantly_that_he"	"that_he_can"	"CC"	"RB"	"RB"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more_than"	"that"	"sam_rayburn"	"be"	"the"	"very"	"living"	"symbol"	"of"	"an"	"integrity"	"so"	"powerful"	"in"	"his"	"nature"	"and"	"so"	"constantly"	"demonstrate"	"that"	"he"	"can"	"count"	"some"	"of"	"his"	"best"	"friends"	"in"	"the"	"opposition"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"who"	"conclusively"	"one"	"the"	"one_who"	"who_conclusively"	"conclusively_the"	",_one_who"	"one_who_conclusively"	"who_conclusively_the"	"conclusively_the_power"	"ε"	"CD"	"WP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"django_reinhardt"	"the"	"ill-fated"	"gypsy"	"be"	"a"	"artist"	"one"	"who"	"demonstrate"	"conclusively"	"the"	"power"	"of"	"art"	"to"	"renew"	"itself"	"and"	"flow"	"into"	"many"	"channels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"to"	"the"	"∅"	"soil"	"∅_to"	"to_the"	"the_soil"	"∅_∅_to"	"∅_to_the"	"to_the_soil"	"the_soil_of"	"ε"	"ε"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"demonstrate"	"the"	"soil"	"of"	"his"	"vegetable_gardens"	"as_it"	"be"	"today"	"mr._clark"	"stoop"	"to"	"scoop_up"	"a"	"handful"	"of"	"rich"	"dark"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"must"	"actual"	"worker"	"or"	"worker_must"	"must_actual"	"actual_or"	"the_worker_must"	"worker_must_actual"	"must_actual_or"	"actual_or_potential"	"DT"	"NN"	"MD"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"establish"	"an"	"emotionally"	"relationship"	"the"	"worker"	"must"	"demonstrate"	"actual"	"or"	"potential"	"helpfulness"	"immediately"	"preferably"	"within"	"the"	"first"	"interview"	"by"	"meet"	"the"	"client"	"specific"	"needs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"could"	"such"	"life"	"poor"	"life_could"	"could_such"	"such_poor"	"in_public_life_could"	"life_could_such"	"could_such_poor"	"such_poor_judgment"	"RB"	"NN"	"MD"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"find"	"it"	"hard"	"to"	"understand"	"anyone"	"seek"	"a"	"in_public"	"life"	"could"	"demonstrate"	"such"	"poor"	"judgment"	"and"	"bad"	"taste"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"against"	"guardians"	"the"	"guardians_to"	"to_against"	"against_the"	"need_guardians_to"	"guardians_to_against"	"to_against_the"	"against_the_ghastly"	"VB"	"NNS"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governments"	"apparently"	"do"	"not"	"feel"	"obligated"	"to"	"make"	"the"	"people"	"aware_of"	"this"	"danger"	"therefore"	"we"	"need"	"guardians"	"to"	"demonstrate"	"against"	"the"	"ghastly"	"stupidity"	"of"	"nuclear_weapons"	"and"	"jolt"	"the"	"people"	"out"	"of"	"their"	"complacency"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"be"	"on"	"can"	"a"	"can_be"	"be_on"	"on_a"	"they_can_be"	"can_be_on"	"be_on_a"	"on_a_large"	"PRP"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"conduct"	"engineering"	"research"	"and"	"technical"	"development"	"work"	"to"	"determine"	"by"	"laboratory"	"and"	"pilot"	"plant"	"testing"	"the"	"result"	"of"	"the"	"research"	"and"	"study"	"aforesaid"	"in_order"	"to"	"develop"	"process"	"and"	"plant"	"design"	"to"	"the"	"point"	"they"	"can"	"demonstrate"	"on"	"a"	"large"	"and"	"practical"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"to"	"their"	"opportunity"	"capacity"	"opportunity_to"	"to_their"	"their_capacity"	"ample_opportunity_to"	"opportunity_to_their"	"to_their_capacity"	"their_capacity_for"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"individual"	"difference"	"in"	"maturation"	"and"	"the"	"development"	"of"	"readiness"	"for"	"learn"	"to"	"read"	"indicate"	"not"	"until"	"the"	"third"	"grade"	"have"	"most"	"child"	"have"	"ample"	"opportunity"	"to"	"demonstrate"	"their"	"capacity"	"for"	"school"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"interaction"	"be"	"the"	"the"	"the_interaction"	"interaction_be"	"be_the"	"of_the_interaction"	"the_interaction_be"	"interaction_be_the"	"be_the_marked"	"IN"	"DT"	"NN"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"striking"	"of"	"the"	"interaction"	"demonstrate"	"be"	"the"	"marked"	"decrement"	"in"	"performance"	"suffer"	"by"	"the"	"highly"	"anxious"	"child"	"in"	"unstructured"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"by"	"∅"	"play"	"∅_he"	"he_by"	"by_play"	"∅_∅_he"	"∅_he_by"	"he_by_play"	"by_play_an"	"ε"	"ε"	"PRP"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"demonstrate"	"by"	"play"	"an"	"imaginary"	"piano"	"do"	"a"	"staccato"	"passage"	"with"	"a"	"broadly"	"exaggerated"	"attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	","	"that"	"intone"	"he"	"intone_,"	",_that"	"that_he"	"person_intone_,"	"intone_,_that"	",_that_he"	"that_he_could"	"NNP"	"VB"	"ε"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"past"	"i"	"leave"	"to"	"person"	"intone"	"demonstrate"	"that"	"he"	"could"	"be"	"pompous"	"as_well_as"	"happy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
