"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:35:00::"	"be"	"over"	"may"	"a"	"may_be"	"be_over"	"over_a"	"cost_may_be"	"may_be_over"	"be_over_a"	"over_a_period"	"NN"	"MD"	"VB"	"VB"	"VB"	"DT"	"NN"	"require"	"an"	"initial"	"payment"	"to"	"cover"	"the"	"cost"	"of"	"diagnostic"	"materials"	"and"	"construction"	"of"	"the"	"appliances"	"but"	"usually"	"the"	"remainder"	"of"	"the"	"cost"	"may"	"over"	"a"	"period"	"of"	"months"	"or"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"grosse"	"his"	"∅"	"hands"	"∅_grosse"	"grosse_his"	"his_hands"	"∅_∅_grosse"	"∅_grosse_his"	"grosse_his_hands"	"his_hands_."	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spread"	"his"	"hands"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"lips"	"in"	"thin"	"a"	"thin_lips"	"lips_in"	"in_a"	"his_thin_lips"	"thin_lips_in"	"lips_in_a"	"in_a_smile"	"PRP$"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vince"	"lift"	"his"	"hand"	"as"	"if"	"strike"	"but"	"his"	"thin"	"lips"	"spread"	"in"	"a"	"smile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"it"	"corner"	"on"	"corner_,"	",_it"	"it_on"	"a_corner_,"	"corner_,_it"	",_it_on"	"it_on_the"	"DT"	"NN"	"ε"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"seize"	"a"	"blanket"	"from"	"pallet"	"in"	"a"	"corner"	"spread"	"it"	"on"	"the"	"floor"	"and"	"use"	"it"	"to"	"form"	"a"	"bag"	"in_which"	"he"	"place"	"his"	"booty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"∅"	"article"	"∅"	"on"	"∅_∅"	"∅_article"	"article_on"	"∅_∅_∅"	"∅_∅_article"	"∅_article_on"	"article_on_flat"	"ε"	"ε"	"ε"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"article"	"on"	"flat"	"surface"	"to"	"required"	"width"	"before"	"measure"	"length"	"at"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:07::"	"be"	"all"	"to"	"across"	"to_be"	"be_all"	"all_across"	"appear_to_be"	"to_be_all"	"be_all_across"	"all_across_the"	"VB"	"TO"	"VB"	"VB"	"DT"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"also"	"symptomatic_of"	"a"	"in"	"attitude"	"which"	"appear"	"to"	"be"	"spread"	"all"	"across"	"the"	"south"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"over"	"tin"	"them"	"tin_,"	",_over"	"over_them"	"pastry-lined_tin_,"	"tin_,_over"	",_over_them"	"over_them_three"	"JJ"	"NN"	"ε"	"VB"	"VB"	"PRP"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"set"	"the"	"apples"	"the"	"pastry-lined"	"tin"	"spread"	"over"	"them"	"three"	"tablespoonfuls"	"of"	"softened"	"butter"	"with"	"as"	"much"	"brown_sugar"	"a"	"sprinkling"	"of"	"nutmeg"	"and"	"a"	"fresh"	"bay_leaf"	"then"	"lay"	"on"	"a"	"cover"	"of"	"pastry"	"and"	"gild"	"it"	"with"	"beaten"	"yolk"	"of"	"egg"	
"2:38:00::"	"will"	"a"	"planes"	"granular-type"	"planes_will"	"will_a"	"a_granular-type"	"low-flying_planes_will"	"planes_will_a"	"will_a_granular-type"	"a_granular-type_chemical"	"JJ"	"NNS"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"low-flying"	"will"	"spread"	"a"	"granular-type"	"chemical"	"heptachlor"	"over"	"acres"	"in"	"troup"	"acres"	"in"	"pierce"	"and"	"acres"	"in"	"bulloch"	"and"	"bryan"	"counties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"revetment"	"through"	"various"	"the"	"various_revetment"	"revetment_through"	"through_the"	"the_various_revetment"	"various_revetment_through"	"revetment_through_the"	"through_the_jungle"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"truck"	"drop"	"them"	"at"	"the"	"various"	"revetment"	"spread"	"through"	"the"	"jungle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"your"	"∅"	"vacation"	"∅_∅"	"∅_your"	"your_vacation"	"∅_∅_∅"	"∅_∅_your"	"∅_your_vacation"	"your_vacation_period"	"ε"	"ε"	"ε"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"vacation"	"period"	"over"	"the"	"wide"	"span"	"of"	"time"	"or"	"shut_down"	"the"	"plant"	"down"	"for"	"two_weeks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
