"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"1:24:00::"	"be"	"of"	"they"	"the"	"they_be"	"be_of"	"of_the"	"∅_they_be"	"they_be_of"	"be_of_the"	"of_the_sabine"	"ε"	"PRP"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"west"	"of"	"the"	"sabine"	"but_only_god_knew_where"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"headed"	"."	"still"	"∅"	"still_headed"	"headed_."	"._∅"	"be_still_headed"	"still_headed_."	"headed_._∅"	"._∅_∅"	"VB"	"RB"	"JJ"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"he"	"say"	"as"	"gently"	"as"	"he"	"could"	"be"	"still"	"headed"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"."	"against"	"∅"	"against_the"	"the_."	"._∅"	"it_against_the"	"against_the_."	"the_._∅"	"._∅_∅"	"PRP"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"soviets"	"understand"	"moreover"	"that"	"the"	"first_step"	"in"	"turn"	"a"	"country"	"communism"	"be"	"to"	"turn"	"it"	"against"	"the"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"."	"toward"	"∅"	"toward_the"	"the_."	"._∅"	"lean_toward_the"	"toward_the_."	"the_._∅"	"._∅_∅"	"VB"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indonesia"	"in"	"the"	"early_days"	"of"	"republic"	"lean"	"toward"	"the"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"."	"to"	"∅"	"to_the"	"the_."	"._∅"	"hostile_to_the"	"to_the_."	"the_._∅"	"._∅_∅"	"JJ"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ceylon"	"has"	"move"	"from"	"a"	"pro"	"western"	"to"	"a"	"neutralism"	"openly"	"hostile"	"to"	"the"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"as"	"for"	"nebraska"	"for_the"	"the_as"	"as_nebraska"	"''_for_the"	"for_the_as"	"the_as_nebraska"	"as_nebraska_be"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"latin_america"	"be"	"once"	"an"	"area"	"safe"	"for"	"the"	"west"	"as"	"nebraska"	"be"	"for"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"german"	"of"	"politician"	"of_a"	"a_german"	"german_politician"	"attempt_of_a"	"of_a_german"	"a_german_politician"	"german_politician_to"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_breeze_and_chancellor_neitzbohr"	"a"	"movie"	"melodrama"	"that"	"the"	"attempt"	"of"	"a"	"west"	"german"	"politician"	"to"	"woo"	"a"	"plaster_cast"	"of"	"the"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"the"	"of"	"to"	"us"	"to_the"	"the_of"	"of_us"	"road_to_the"	"to_the_of"	"the_of_us"	"of_us_."	"NN"	"TO"	"DT"	"NN"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"the"	"redcoat"	"were"	"come"	"and"	"the"	"gunfire"	"be"	"a"	"of"	"the"	"dust_cloud"	"on"	"the"	"road"	"to"	"the"	"west"	"of"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"the"	"of"	"to"	"us"	"to_the"	"the_of"	"of_us"	"militia_to_the"	"to_the_of"	"the_of_us"	"of_us_fan_out"	"NN"	"TO"	"DT"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"this"	"was"	"being"	"discuss"	"see"	"the"	"militia"	"to"	"the"	"west"	"of"	"us"	"fan_out"	"and"	"break"	"into"	"little"	"cluster"	"of"	"two"	"and"	"three"	"man"	"as"	"they"	"approach"	"the"	"road"	
"1:24:00::"	"mile"	"of"	"seventy-five"	"location"	"seventy-five_mile"	"mile_of"	"of_location"	"about_seventy-five_mile"	"seventy-five_mile_of"	"mile_of_location"	"of_location_,"	"RB"	"CD"	"NN"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"be"	"seventy-five"	"mile"	"west"	"of"	"location"	"near"	"the"	"location"	"border"	"and"	"on"	"the"	"location"	"a"	"small"	"and"	"dirty"	"stream"	"0"	"0"	"0"	"0"	"0"	"0"	
