"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:41:00::"	"in"	"the"	","	"relief"	",_in"	"in_the"	"the_relief"	"president_kennedy_,_in"	",_in_the"	"in_the_relief"	"the_relief_measure"	"NNP"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"sign"	"the"	"relief"	"measure"	"into"	"law"	"stress"	"he"	"regard"	"it"	"as"	"an"	"exception"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"have"	"his"	"should"	"letter"	"should_have"	"have_his"	"his_letter"	"14_should_have"	"should_have_his"	"have_his_letter"	"his_letter_``"	"CD"	"MD"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"letter_writer"	"who"	"suggest"	"save"	"money"	"by"	"kids"	"out"	"of"	"school"	"at"	"should"	"have"	"sign"	"his"	"letter"	"simpleton"	"instead"	"of"	"simplicitude"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"and"	"285"	"study"	"official"	"study_and"	"and_285"	"285_official"	",_study_and"	"study_and_285"	"and_285_official"	"285_official_papers"	"ε"	"VB"	"CC"	"VB"	"CD"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"his"	"first"	"six"	"weeks"	"in"	"office"	"he"	"preside"	"over"	"conferences"	"attend"	"official"	"and"	"dinners"	"study"	"and"	"sign"	"official"	"papers"	"and"	"personally"	"took"	"telephone_calls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"a"	"expect"	"contract"	"expect_to"	"to_a"	"a_contract"	"group_expect_to"	"expect_to_a"	"to_a_contract"	"a_contract_in"	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"couple"	"own"	"budget"	"of"	"with"	"a"	"state"	"grant"	"authorize"	"by"	"the"	"group"	"expect"	"to"	"sign"	"a"	"contract"	"in"	"march"	"with"	"georgia_tech."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"by"	"paper"	"forty-five"	"paper_was"	"was_by"	"by_forty-five"	"this_paper_was"	"paper_was_by"	"was_by_forty-five"	"by_forty-five_persons"	"DT"	"NN"	"VBD"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"was"	"sign"	"by"	"forty-five"	"persons"	"subscribe"	"a"	"total"	"of"	"two"	"hundred"	"shares"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"senate"	"a"	"the"	"check"	"the_senate"	"senate_a"	"a_check"	",_the_senate"	"the_senate_a"	"senate_a_check"	"a_check_for"	"ε"	"DT"	"NNP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_all"	"senate"	"sign"	"a"	"check"	"for"	"billion"	"which"	"not_only"	"include"	"the"	"extra"	"billion"	"request"	"the"	"week"	"before"	"by"	"president_kennedy"	"but"	"tack_on"	"million"	"more_than"	"the"	"president"	"had"	"ask"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	","	"expect"	"not"	"expect_to"	"to_,"	",_not"	"is_expect_to"	"expect_to_,"	"to_,_not"	",_not_too"	"VBZ"	"VB"	"TO"	"VB"	"ε"	"RB"	"RB"	"by"	"voice"	"vote"	"and"	"the"	"house"	"by"	"pass"	"and"	"send"	"to"	"the"	"white_house"	"the"	"compromise"	"farm_bill"	"which"	"the"	"president"	"is"	"expect"	"to"	"not"	"too"	"unhappily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"judge_benjamin_michaelson"	"the"	"∅"	"order"	"∅_judge_benjamin_michaelson"	"judge_benjamin_michaelson_the"	"the_order"	"∅_∅_judge_benjamin_michaelson"	"∅_judge_benjamin_michaelson_the"	"judge_benjamin_michaelson_the_order"	"the_order_remand"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sign"	"the"	"order"	"remand"	"the"	"boy"	"to"	"the"	"hospital"	"because"	"of"	"the"	"lack"	"of"	"juvenile"	"accommodations"	"at"	"the"	"anne_arundel_county_jail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"after"	"a"	"∅"	"motion-picture"	"∅_after"	"after_a"	"a_motion-picture"	"∅_∅_after"	"∅_after_a"	"after_a_motion-picture"	"a_motion-picture_contract"	"ε"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sign"	"a"	"motion-picture"	"contract"	"she"	"come"	"to"	"america"	"and"	"have"	"goodbye"	"mr."	"chips"	"as"	"her"	"first"	"assignment"	"after"	"a"	"year"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"an"	"fail"	"eight"	"fail_to"	"to_an"	"an_eight"	"parties_fail_to"	"fail_to_an"	"to_an_eight"	"an_eight_point"	"NNS"	"VB"	"TO"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"army"	"leaders"	"threaten"	"to"	"form"	"a"	"military"	"government"	"if"	"the"	"parties"	"fail"	"to"	"sign"	"an"	"eight"	"point"	"protocol"	"agree"	"on"	"gen._gursel"	"as"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
