"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"
"2:29:00::"	"suddenly"	"and"	"and_then"	"say"	"and_then_suddenly"	"suddenly_and"	"and_say"	"in_and_then_suddenly"	"and_then_suddenly_and"	"suddenly_and_say"	"and_say_,"	"IN"	"RB"	"RB"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"he"	"start"	"to"	"something"	"as"	"i"	"in"	"and_then"	"suddenly"	"grin"	"and"	"say"	"oh"	"yes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"i"	"at"	"∅"	"him"	"∅_i"	"i_at"	"at_him"	"∅_∅_i"	"∅_i_at"	"i_at_him"	"at_him_,"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grin"	"at"	"him"	"hand"	"him"	"a_couple_of"	"dollars"	"and"	"say"	"by"	"the"	"time"	"you"	"get"	"the"	"parking"	"charge"	"figure"	"up"	"there"	"should"	"be"	"a"	"cigar"	"in"	"it"	"for"	"you"	
"2:29:00::"	"i"	"at"	"∅"	"rachel"	"∅_i"	"i_at"	"at_rachel"	"∅_∅_i"	"∅_i_at"	"i_at_rachel"	"at_rachel_."	"ε"	"ε"	"PRP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grin"	"at"	"rachel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"discourse"	"with_pride"	"of_this"	"and"	"of_this_discourse"	"discourse_with_pride"	"with_pride_and"	"monitor_of_this_discourse"	"of_this_discourse_with_pride"	"discourse_with_pride_and"	"with_pride_and_amusement"	"NN"	"RB"	"NN"	"VB"	"RB"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of_this"	"discourse"	"grin"	"with_pride"	"and"	"amusement"	"as"	"helva"	"tone"	"indicate"	"pity"	"for"	"the"	"unfortunate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"he"	","	"∅"	"nod"	"∅_he"	"he_,"	",_nod"	"∅_∅_he"	"∅_he_,"	"he_,_nod"	",_nod_,"	"ε"	"ε"	"PRP"	"VB"	"ε"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grin"	"nod"	"and"	"walk_around"	"to"	"the"	"front"	"of"	"the"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"surprised"	"which"	"a"	"was"	"a_surprised"	"surprised_which"	"which_was"	"in_a_surprised"	"a_surprised_which"	"surprised_which_was"	"which_was_smash"	"IN"	"DT"	"JJ"	"NN"	"WDT"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"coarse"	"feature"	"in"	"a"	"surprised"	"grin"	"which"	"was"	"smash"	"out"	"of"	"shape"	"by"	"person"	"fist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"'d"	"."	"he"	"∅"	"he_'d"	"'d_."	"._∅"	"!_he_'d"	"he_'d_."	"'d_._∅"	"._∅_∅"	"ε"	"PRP"	"MD"	"VB"	"ε"	"ε"	"ε"	"center"	"at"	"three"	"hundred"	"yard"	"that"	"coroner"	"say"	"he"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"that"	"see"	"split"	"see_the"	"the_that"	"that_split"	"n't_see_the"	"see_the_that"	"the_that_split"	"that_split_her"	"RB"	"VB"	"DT"	"NN"	"IN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"could"	"see"	"the"	"grin"	"that"	"split"	"her"	"mouth"	"the"	"tooth"	"that"	"shine"	"into"	"the"	"phone"	"be"	"like"	"a"	"shark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	","	"with"	"``"	"with_a"	"a_,"	",_``"	"person_with_a"	"with_a_,"	"a_,_``"	",_``_but"	"NNP"	"IN"	"DT"	"NN"	"ε"	"ε"	"CC"	"0"	"0"	"0"	"i"	"know"	"it"	"all_along"	"confess"	"person"	"a"	"grin"	"but"	"i"	"just"	"happen"	"to"	"think"	"how"	"much"	"nice"	"it"	"would"	"be"	"to"	"drop"	"one"	"way"	"up"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"person"	"."	"∅"	"∅"	"∅_person"	"person_."	"._∅"	"∅_∅_person"	"∅_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
