"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:38:00::"	"are"	"retirement"	"men"	"age"	"men_are"	"are_retirement"	"retirement_age"	"those_men_are"	"men_are_retirement"	"are_retirement_age"	"retirement_age_and"	"DT"	"NNS"	"VBP"	"VB"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"today"	"those"	"men"	"are"	"reach"	"retirement"	"age"	"and"	"suddenly"	"realize"	"that"	"they"	"face"	"an"	"estate_tax"	"problem"	"with"	"their"	"closely"	"hold"	"companies"	"and"	"also"	"that"	"they"	"have"	"no"	"second-echelon"	"management"	"in"	"their"	"firms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"a"	"∅"	"still"	"∅_to"	"to_a"	"a_still"	"∅_∅_to"	"∅_to_a"	"to_a_still"	"a_still_greater"	"ε"	"ε"	"TO"	"VB"	"DT"	"RB"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"a"	"still"	"greater"	"audience"	"of"	"location-minded"	"manufacturers"	"our"	"industrial"	"advertising"	"budget"	"for"	"the"	"fiscal_year"	"was"	"increase"	"from"	"to"	"and"	"the"	"industrial_building_authority"	"financial"	"participation"	"was"	"up"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"evangelism"	"the"	"of"	"crescendo"	"of_evangelism"	"evangelism_the"	"the_crescendo"	"process_of_evangelism"	"of_evangelism_the"	"evangelism_the_crescendo"	"the_crescendo_when"	"NN"	"IN"	"NN"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"total"	"of"	"evangelism"	"reach"	"the"	"crescendo"	"when"	"the"	"group"	"of"	"new"	"members"	"stand"	"before"	"the"	"congregation"	"to"	"declare"	"publicly"	"their"	"faith"	"and"	"to"	"be"	"receive"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"i"	"the"	"before"	"water"	"before_i"	"i_the"	"the_water"	"just_before_i"	"before_i_the"	"i_the_water"	"the_water_and"	"RB"	"IN"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"directly"	"across"	"from"	"the"	"gardens"	"i"	"find"	"a"	"bus_stop"	"sign"	"for"	"t"	"and"	"ride"	"it"	"to"	"the"	"bosphorus"	"with"	"the"	"sports"	"center"	"on"	"my"	"left"	"just"	"before"	"i"	"reach"	"the"	"water"	"and"	"the"	"entrance"	"to"	"dolmabahce_palace"	"immediately"	"after_that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"that"	"require"	"goal"	"require_to"	"to_that"	"that_goal"	"be_require_to"	"require_to_that"	"to_that_goal"	"that_goal_,"	"VB"	"VB"	"TO"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"we"	"look_to"	"the"	"billion"	"economy"	"that_is"	"predict"	"for"	"and"	"the"	"increase"	"of"	"in"	"consumer"	"expenditures"	"that"	"will"	"be"	"require"	"to"	"reach"	"that"	"goal"	"management"	"can"	"well"	"be"	"restless"	"about"	"how"	"this"	"tremendous"	"volume"	"and"	"number"	"of"	"new"	"products"	"will"	"be"	"create"	"and"	"market"	"peterson"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"dave"	"as"	"and"	"as_she"	"she_dave"	"dave_and"	"∅_as_she"	"as_she_dave"	"she_dave_and"	"dave_and_feel"	"ε"	"IN"	"PRP"	"VB"	"NNP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"reach"	"dave"	"and"	"feel"	"his"	"arm"	"go"	"around"	"her"	"feel"	"him"	"pull"	"her"	"to"	"the"	"safety"	"of"	"his"	"person"	"she"	"know"	"with"	"the"	"certainty"	"of"	"despair"	"that"	"something"	"bad"	"had"	"happen"	"to"	"lauren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"or"	"agreement"	"negotiate"	"on"	"negotiate_or"	"or_agreement"	"agreement_on"	"for_the_purpose_of_negotiate_or"	"negotiate_or_agreement"	"or_agreement_on"	"agreement_on_the"	"RB"	"VB"	"CC"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"and"	"chairman_khrushchev"	"understand"	"that"	"meeting"	"be"	"not"	"for_the_purpose_of"	"negotiate"	"or"	"reach"	"agreement"	"on"	"the"	"major"	"international"	"problems"	"that"	"involve"	"the"	"interest"	"of"	"many"	"countries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"fire"	"through"	"the"	"the"	"the_fire"	"fire_through"	"through_the"	"of_the_fire"	"the_fire_through"	"fire_through_the"	"through_the_openings"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"glow"	"the"	"fire"	"reach"	"through"	"the"	"openings"	"in"	"the"	"windows"	"give"	"light"	"enough"	"to"	"examine"	"mike"	"wound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"them"	"our"	"of"	"walls"	"of_them"	"them_our"	"our_walls"	"none_of_them"	"of_them_our"	"them_our_walls"	"our_walls_again"	"NN"	"IN"	"PRP"	"VB"	"PRP$"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"none"	"them"	"reach"	"our"	"walls"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"they"	"their"	"when"	"neighbor"	"when_they"	"they_their"	"their_neighbor"	"∅_when_they"	"when_they_their"	"they_their_neighbor"	"their_neighbor_'s"	"ε"	"WRB"	"PRP"	"VB"	"PRP$"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"reach"	"their"	"neighbor"	"house"	"pamela"	"say"	"a_few"	"polite"	"words"	"to"	"grace"	"and"	"kiss"	"melissa"	"lightly"	"on"	"the"	"forehead"	"the"	"impulse"	"prompt"	"by"	"a"	"stray"	"thought"	"of"	"the"	"type"	"to_which"	"she"	"be"	"frequently"	"subject"	"these"	"days"	"that"	"they"	"might"	"never"	"see"	"one"	"another"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"it"	"donald_kruger"	"∅"	"in"	"∅_it"	"it_donald_kruger"	"donald_kruger_in"	"∅_∅_it"	"∅_it_donald_kruger"	"it_donald_kruger_in"	"donald_kruger_in_his"	"ε"	"ε"	"PRP"	"VB"	"NNP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"donald_kruger"	"in"	"his"	"massive"	"home"	"in"	"burlingame"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
