"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"1:18:00::"	"the"	","	"of"	"but"	"of_the"	"the_,"	",_but"	"life_of_the"	"of_the_,"	"the_,_but"	",_but_soon"	"NN"	"IN"	"DT"	"NN"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"decide"	"to"	"become"	"a"	"painter"	"he"	"enter"	"the"	"studio"	"of"	"in"	"paris"	"where"	"he"	"enjoy"	"the"	"life"	"of"	"the"	"artist"	"but"	"soon"	"find"	"that"	"whatever"	"talent"	"he"	"might"	"have"	"did"	"not"	"lie_in"	"that"	"direction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"every"	"delight"	"as"	"to"	"as_every"	"every_delight"	"delight_to"	",_as_every"	"as_every_delight"	"every_delight_to"	"delight_to_do"	"ε"	"IN"	"DT"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"into"	"the"	"texture"	"of"	"this"	"tapestry"	"of"	"and"	"human"	"drama"	"person"	"as"	"every"	"artist"	"delight"	"to"	"do"	"weave"	"strand"	"of"	"her"	"own"	"intuitive"	"insight"	"into"	"human"	"nature"	"and"	"especially"	"in"	"the"	"remarkable"	"story"	"of"	"the"	"attraction"	"and"	"conflict"	"between"	"two"	"so"	"disparate"	"and"	"fervent"	"character"	"as"	"this"	"pair"	"into"	"the"	"relations"	"of"	"man"	"and"	"woman"	"in"	"their"	"relations"	"she"	"be"	"the"	"giver"	"and"	"he"	"the"	"receiver"	"nay"	"the"	"demander"	
"1:18:00::"	"creative"	"himself"	"the"	"."	"the_creative"	"creative_himself"	"himself_."	"of_the_creative"	"the_creative_himself"	"creative_himself_."	"himself_._∅"	"IN"	"DT"	"JJ"	"NN"	"PRP"	"ε"	"ε"	"argue"	"that"	"the"	"ultimate"	"purpose"	"of"	"literary"	"scholarship"	"be"	"to"	"correct"	"this"	"spontaneous"	"provincialism"	"that"	"be"	"likely"	"to"	"obscure"	"the"	"horizon"	"of"	"the"	"general"	"public"	"of"	"the"	"newspaper_critic"	"and"	"of"	"creative"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"two"	"often"	"the"	"go"	"the_two"	"two_often"	"often_go"	"though_the_two"	"the_two_often"	"two_often_go"	"often_go_on"	"IN"	"JJ"	"JJ"	"NN"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"except"	"for"	"a"	"rich"	"friendship"	"with"	"the"	"painter"	"person"	"who"	"give"	"him"	"the"	"only"	"professional"	"instruction"	"he"	"ever"	"have"	"and"	"was"	"limit"	"to"	"a_few"	"lesson"	"the"	"two"	"artist"	"often"	"go"	"on"	"painting"	"trip"	"together"	"person"	"develop"	"his"	"art"	"by"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"have"	"own"	"have_the"	"the_'s"	"'s_own"	"we_have_the"	"have_the_'s"	"the_'s_own"	"'s_own_testimony"	"PRP"	"VB"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"for"	"the"	"technical"	"we"	"have"	"the"	"artist"	"own"	"testimony"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"expect"	"because"	"nature"	"because_the"	"the_expect"	"expect_nature"	"suffer_because_the"	"because_the_expect"	"the_expect_nature"	"expect_nature_will"	"VB"	"IN"	"DT"	"NN"	"VB"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"thoroughly"	"convinced"	"that"	"watercolor"	"suffer"	"because"	"the"	"artist"	"expect"	"nature"	"will"	"do"	"his"	"composing"	"for"	"him"	"as"	"a"	"result"	"such"	"picture"	"be"	"only"	"a"	"literal"	"translation"	"of"	"what"	"the"	"artist"	"find"	"in"	"the"	"scene"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"find"	"what"	"in"	"what_the"	"the_find"	"find_in"	"of_what_the"	"what_the_find"	"the_find_in"	"find_in_the"	"RB"	"RB"	"DT"	"NN"	"VB"	"IN"	"DT"	"i"	"be"	"thoroughly"	"convinced"	"that"	"most"	"watercolor"	"suffer"	"because"	"the"	"artist"	"expect"	"nature"	"will"	"do"	"his"	"composing"	"for"	"him"	"as"	"a"	"result"	"such"	"picture"	"be"	"only"	"a"	"literal"	"translation"	"of"	"what"	"artist"	"find"	"in"	"the"	"scene"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"have"	"unless"	"lots"	"unless_the"	"the_have"	"have_lots"	"but_unless_the"	"unless_the_have"	"the_have_lots"	"have_lots_of"	"CC"	"IN"	"DT"	"NN"	"VB"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speed"	"in"	"paint"	"a"	"picture"	"be"	"valid"	"only"	"when"	"impart"	"spontaneity"	"and"	"crispness"	"but"	"unless"	"the"	"artist"	"have"	"lots"	"of"	"experience"	"so"	"that"	"he"	"can"	"control"	"rapid"	"execution"	"he"	"would"	"do_well"	"to"	"take"	"these"	"first"	"sketch"	"and"	"soberly"	"reorder"	"their"	"design"	"to"	"achieve"	"a"	"unified"	"composition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"be_born"	"∅"	"in"	"∅_the"	"the_be_born"	"be_born_in"	"∅_∅_the"	"∅_the_be_born"	"the_be_born_in"	"be_born_in_location"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"artist"	"be_born"	"in"	"location"	"new_york"	"in"	"and"	"until"	"two"	"year"	"ago"	"when"	"he"	"and"	"his"	"wife"	"move"	"to"	"california"	"he"	"live"	"in"	"western"	"new_york"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"whenever"	","	"∅"	"indeed"	"∅_whenever"	"whenever_,"	",_indeed"	"∅_∅_whenever"	"∅_whenever_,"	"whenever_,_indeed"	",_indeed_,"	"ε"	"ε"	"WRB"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"artist"	"indeed"	"turn_to"	"actual"	"representation"	"or"	"mold"	"three-dimensional_figure"	"which"	"be"	"rare"	"down"	"to"	"bc"	"they"	"tend"	"to"	"reflect"	"reality"	"see"	"plate"	"a"	"schematic"	"abstract"	"treatment"	"of"	"man"	"and"	"animal"	"by"	"intent"	"rise"	"only"	"in"	"the"	"late"	"eighth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
