"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"
"1:21:01::"	"the"	"of"	"exceed"	"each"	"exceed_the"	"the_of"	"of_each"	"not_exceed_the"	"exceed_the_of"	"the_of_each"	"of_each_award"	"RB"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"to"	"pay"	"prescribe"	"by"	"section"	"of_this"	"title"	"an"	"amount"	"not"	"exceed"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"the"	"of"	"of"	"award"	"of_the"	"the_of"	"of_award"	"in_full_of_the"	"of_the_of"	"the_of_award"	"of_award_of"	"RB"	"IN"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"in_full"	"of"	"the"	"principal"	"of"	"award"	"of"	"or"	"less"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"the"	"of"	"on"	"each"	"on_the"	"the_of"	"of_each"	"1000_on_the"	"on_the_of"	"the_of_each"	"of_each_award"	"JJ"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"payment"	"on"	"the"	"principal"	"of"	"each"	"award"	"of"	"more_than"	"in"	"principal"	"amount"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"in"	"amount"	"1000"	","	"1000_in"	"in_amount"	"amount_,"	"$_1000_in"	"1000_in_amount"	"in_amount_,"	"amount_,_certified"	"ε"	"JJ"	"IN"	"NN"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"payment"	"of"	"on"	"the"	"principal"	"of"	"award"	"of"	"more_than"	"in"	"principal"	"amount"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"unpaid"	"of"	"the"	"award"	"the_unpaid"	"unpaid_of"	"of_award"	"of_the_unpaid"	"the_unpaid_of"	"unpaid_of_award"	"of_award_in"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"additional"	"payment"	"of"	"not"	"exceed"	"per_centum"	"of"	"the"	"unpaid"	"principal"	"of"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"the"	"amount"	"in"	"of"	"in_the"	"the_amount"	"amount_of"	"award_in_the"	"in_the_amount"	"the_amount_of"	"amount_of_more_than"	"NN"	"IN"	"DT"	"NN"	"NN"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"additional"	"payment"	"of"	"not"	"to"	"exceed"	"of"	"the"	"unpaid"	"principal"	"of"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"unpaid"	"of"	"the"	"all"	"the_unpaid"	"unpaid_of"	"of_all"	"on_account_of_the_unpaid"	"the_unpaid_of"	"unpaid_of_all"	"of_all_award"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	
"1:21:01::"	"the"	"amount"	"in"	"of"	"in_the"	"the_amount"	"amount_of"	"award_in_the"	"in_the_amount"	"the_amount_of"	"amount_of_more_than"	"NN"	"IN"	"DT"	"NN"	"NN"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	
"1:21:01::"	"unpaid"	"of"	"the"	"such"	"the_unpaid"	"unpaid_of"	"of_such"	"which_the_unpaid"	"the_unpaid_of"	"unpaid_of_such"	"of_such_award"	"WDT"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"the"	"amount"	"of"	"of"	"of_the"	"the_amount"	"amount_of"	"make_of_the"	"of_the_amount"	"the_amount_of"	"amount_of_all"	"VB"	"IN"	"DT"	"NN"	"NN"	"IN"	"DT"	"the"	"payment"	"prescribe"	"by"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
