"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"2:38:00::"	"he"	"out"	"when"	"onto"	"when_he"	"he_out"	"out_onto"	",_when_he"	"when_he_out"	"he_out_onto"	"out_onto_virginia_street"	"ε"	"WRB"	"PRP"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"eat"	"breakfast"	"in"	"a"	"sullen"	"but"	"afterwards"	"when"	"he"	"walk"	"out"	"onto"	"virginia_street"	"he"	"feel"	"braced"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"with"	"∅"	"him"	"∅_i"	"i_with"	"with_him"	"∅_∅_i"	"∅_i_with"	"i_with_him"	"with_him_back"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"walk"	"with"	"him"	"back"	"to"	"the"	"entrance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"in"	"as"	"and_then"	"as_i"	"i_in"	"in_and_then"	"something_as_i"	"as_i_in"	"i_in_and_then"	"in_and_then_suddenly"	"NN"	"IN"	"PRP"	"VB"	"IN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"start"	"to"	"something"	"as"	"i"	"walk"	"in"	"and_then"	"suddenly"	"grin"	"and"	"say"	"oh"	"yes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"way_out"	"over"	"my"	"to"	"my_way_out"	"way_out_over"	"over_to"	"on_my_way_out"	"my_way_out_over"	"way_out_over_to"	"over_to_the"	"IN"	"PRP$"	"NN"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"put_in"	"new"	"batteries"	"so_as_to"	"be"	"certain"	"i"	"plenty"	"of"	"power"	"and"	"on"	"my"	"way_out"	"walk"	"over"	"to"	"the"	"regular"	"parking"	"stalls"	"and"	"stand"	"look"	"at"	"them"	"thoughtfully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"swiftly"	"street"	"southward"	"street_and"	"and_swiftly"	"swiftly_southward"	"the_street_and"	"street_and_swiftly"	"and_swiftly_southward"	"swiftly_southward_to"	"DT"	"NN"	"CC"	"VB"	"RB"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"cross"	"street"	"and"	"walk"	"swiftly"	"southward"	"to"	"circle"	"back"	"to"	"the"	"boulevard"	"and"	"north"	"a"	"block"	"to"	"the"	"open"	"restaurant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"through"	"st._sophia"	"the"	"st._sophia_i"	"i_through"	"through_the"	"outside_st._sophia_i"	"st._sophia_i_through"	"i_through_the"	"through_the_flower_garden"	"IN"	"NNP"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"i"	"walk"	"through"	"the"	"flower_garden"	"in_front"	"of_it"	"with"	"the_blue"	"mosque"	"ahead"	"on"	"my"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"ahead"	","	"to"	",_and"	"and_ahead"	"ahead_to"	"hippodrome_,_and"	",_and_ahead"	"and_ahead_to"	"ahead_to_the"	"NNP"	"ε"	"CC"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"before"	"come"	"to"	"the"	"mosque"	"entrance"	"i"	"the"	"street"	"enter"	"the"	"hippodrome"	"and"	"walk"	"ahead"	"to"	"the"	"obelisk"	"of"	"theodosius"	"originally"	"erect"	"in"	"heliopolis"	"in"	"egypt"	"about"	"b._c."	"by"	"thutmose"	"who"	"also"	"build"	"those"	"now"	"in"	"new_york"	"london"	"and"	"rome"	"at"	"the"	"lateran"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"left"	","	"to"	",_i"	"i_left"	"left_to"	"fountain_,_i"	",_i_left"	"i_left_to"	"left_to_the"	"NNP"	"ε"	"PRP"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"back"	"at"	"the"	"fountain"	"i"	"walk"	"left"	"to"	"the"	"streetcar"	"stop"	"and"	"ride"	"up"	"the"	"hill"	"any"	"car"	"will"	"do"	"past"	"the"	"column"	"of"	"constantine"	"also_known_as"	"the"	"burnt"	"column"	"at"	"the"	"top"	"on"	"my"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"ahead"	","	","	",_i"	"i_ahead"	"ahead_,"	"fountain_,_i"	",_i_ahead"	"i_ahead_,"	"ahead_,_then"	"NNP"	"ε"	"PRP"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take"	"the"	"streetcar"	"back"	"kaiser"	"fountain"	"i"	"walk"	"ahead"	"then"	"left"	"down"	"the"	"street"	"opposite"	"st._sophia"	"and"	"just"	"beyond"	"the"	"corner"	"come"	"to"	"a"	"small"	"one-story"	"building"	"with"	"a"	"red-tile"	"roof"	"which"	"be"	"the"	"entrance"	"to"	"the"	"sunken_palace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"past"	"outside"	"the"	"outside_i"	"i_past"	"past_the"	"∅_outside_i"	"outside_i_past"	"i_past_the"	"past_the_entrance"	"ε"	"IN"	"PRP"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"walk"	"past"	"the"	"entrance"	"to"	"st._sophia"	"turn"	"left"	"at"	"the"	"end"	"of_it"	"and"	"continue"	"toward"	"a"	"gate"	"in"	"the"	"wall"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
