"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"5:00:00:easy:01"	"that"	"."	"be"	"∅"	"be_that"	"that_."	"._∅"	"would_be_that"	"be_that_."	"that_._∅"	"._∅_∅"	"MD"	"VB"	"IN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"of_course"	"no"	"hope"	"really"	"would"	"be"	"that"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"by"	"curiosity"	"prompt"	"and"	"prompt_by"	"by_curiosity"	"curiosity_and"	"been_prompt_by"	"prompt_by_curiosity"	"by_curiosity_and"	"curiosity_and_interest"	"VBN"	"VB"	"IN"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"wish"	"to"	"meet"	"had"	"been"	"prompt"	"by"	"simple"	"curiosity"	"and"	"interest"	"in"	"his"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"thing"	"get"	"done"	"get_the"	"the_thing"	"thing_done"	"to_get_the"	"get_the_thing"	"the_thing_done"	"thing_done_in"	"TO"	"VB"	"DT"	"JJ"	"NN"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"worry"	"him"	"this"	"to"	"get"	"the"	"simple"	"thing"	"done"	"in"	"the"	"course"	"of"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"and"	"on"	"ingenious"	"on_a"	"a_and"	"and_ingenious"	"mainly_on_a"	"on_a_and"	"a_and_ingenious"	"and_ingenious_instrument"	"RB"	"IN"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tsunami"	"warning"	"system"	"develop"	"since"	"the"	"in"	"hawaii"	"rely_on"	"mainly"	"on"	"a"	"simple"	"and"	"ingenious"	"instrument"	"devise"	"by"	"person"	"of"	"the"	"group"	"staff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"comparatively"	"seeming"	"some"	"verbal"	"some_comparatively"	"comparatively_seeming"	"seeming_verbal"	"to_some_comparatively"	"some_comparatively_seeming"	"comparatively_seeming_verbal"	"seeming_verbal_or"	"TO"	"DT"	"RB"	"JJ"	"JJ"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"a"	"variety"	"of"	"meaning"	"emotion"	"are"	"concentrate"	"or"	"reduce"	"in"	"their"	"expression"	"to"	"some"	"comparatively"	"simple"	"seeming"	"verbal"	"or"	"nonverbal"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:plain:01;5:00:00:easy:01;3:00:02::"	"a"	"overall"	"with"	"decision"	"with_a"	"a_overall"	"overall_decision"	"deal_with_a"	"with_a_overall"	"a_overall_decision"	"overall_decision_but"	"VB"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"consider"	"roleplaying"	"for"	"analysis"	"we"	"enter"	"a"	"more"	"complex"	"area"	"we"	"are"	"now"	"no_longer"	"deal"	"with"	"a"	"simple"	"overall"	"decision"	"but"	"rather"	"with"	"the"	"examination"	"and"	"evaluation"	"of"	"many"	"element"	"see"	"in"	"dynamic"	"functioning"	"0"	
"5:00:00:easy:01"	"very"	"."	"'s"	"∅"	"'s_very"	"very_."	"._∅"	"it_'s_very"	"'s_very_."	"very_._∅"	"._∅_∅"	"PRP"	"VBZ"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"a"	"matter"	"be"	"to"	"be_a"	"a_matter"	"matter_to"	"it_be_a"	"be_a_matter"	"a_matter_to"	"matter_to_reach"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"back"	"of"	"barn"	"it"	"be"	"a"	"simple"	"matter"	"to"	"reach"	"person"	"house"	"without"	"use"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:easy:01"	"a"	"equation"	"present"	"for"	"present_a"	"a_equation"	"equation_for"	"also_present_a"	"present_a_equation"	"a_equation_for"	"equation_for_derive"	"RB"	"VB"	"DT"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"present"	"a"	"simple"	"equation"	"for"	"derive"	"an"	"index"	"of"	"persistence"	"which"	"weight"	"not_only"	"the"	"number"	"of"	"stem"	"root"	"per"	"meaning"	"but"	"their"	"relative_frequency"	"0"	"0"	
"3:00:02::"	"a"	"dignity"	"with"	"that"	"with_a"	"a_dignity"	"dignity_that"	"so_with_a"	"with_a_dignity"	"a_dignity_that"	"dignity_that_bridge"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"VB"	"0"	"person"	"the"	"russian"	"actor"	"who"	"has"	"play"	"such_as"	"heroic"	"role"	"as"	"person"	"and"	"person"	"perform"	"the"	"lanky"	"don_quixote"	"and"	"does"	"so"	"a"	"simple"	"dignity"	"that"	"bridge"	"the"	"inner"	"nobility"	"and"	"the"	"surface"	"absurdity"	"of"	"this"	"poignant"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"and"	"."	"clear"	"∅"	"clear_and"	"and_."	"._∅"	"be_clear_and"	"clear_and_."	"and_._∅"	"._∅_∅"	"VB"	"JJ"	"CC"	"JJ"	"ε"	"ε"	"ε"	"that"	"if"	"once"	"only"	"once"	"he"	"could"	"talk"	"with"	"person"	"something"	"about"	"his"	"own"	"life"	"and"	"all"	"life"	"would"	"be"	"clear"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"and"	"and"	"common"	"and_the"	"the_and"	"and_common"	",_and_the"	"and_the_and"	"the_and_common"	"and_common_the"	"ε"	"CC"	"DT"	"JJ"	"CC"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"us"	"work_through"	"example"	"and"	"the"	"simple"	"and"	"common"	"the"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
