"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:41:00::"	"∅"	"a"	"∅"	"series"	"∅_∅"	"∅_a"	"a_series"	"∅_∅_∅"	"∅_∅_a"	"∅_a_series"	"a_series_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"series"	"of"	"catechism"	"questions"	"to"	"be"	"memorize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"would"	"one"	"he"	"of"	"he_would"	"would_one"	"one_of"	"∅_he_would"	"he_would_one"	"would_one_of"	"one_of_the"	"ε"	"PRP"	"MD"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"assign"	"one"	"of"	"the"	"rescue"	"trucks"	"to"	"the"	"riverside"	"section"	"of"	"the"	"city"	"and"	"the"	"to"	"the"	"rumford"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"and"	"grades"	"purchase"	"of"	"purchase_and"	"and_grades"	"grades_of"	"state_purchase_and"	"purchase_and_grades"	"and_grades_of"	"grades_of_cars"	"NN"	"VB"	"CC"	"VB"	"NNS"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"purchase"	"and"	"assign"	"grades"	"of"	"cars"	"according_to_need"	"and"	"status"	"of"	"driver"	"and"	"use"	"of"	"vehicle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"states"	"or"	"forty-seven"	"provide"	"forty-seven_states"	"states_or"	"or_provide"	"∅_forty-seven_states"	"forty-seven_states_or"	"states_or_provide"	"or_provide_vehicles"	"ε"	"JJ"	"NNS"	"VB"	"CC"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"states"	"assign"	"or"	"provide"	"vehicles"	"for"	"employees"	"on"	"state"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"employees"	"them"	"for"	"variously"	"for_employees"	"employees_them"	"them_variously"	"automobiles_for_employees"	"for_employees_them"	"employees_them_variously"	"them_variously_to"	"NNS"	"IN"	"NNS"	"VB"	"PRP"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"states"	"which"	"automobiles"	"for"	"employees"	"assign"	"them"	"variously"	"to"	"the"	"agency"	"the"	"individual"	"or"	"to"	"a"	"central"	"pool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"for"	"state"	"regulations"	"vehicles"	"regulations_for"	"for_state"	"state_vehicles"	"or_regulations_for"	"regulations_for_state"	"for_state_vehicles"	"state_vehicles_in"	"CC"	"NNS"	"IN"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nineteen"	"states"	"report"	"laws"	"or"	"regulations"	"for"	"assign"	"state"	"vehicles"	"in"	"lieu"	"of"	"pay"	"mileage"	"allowances"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"projects"	"to"	"peace_corps"	"voluntary"	"peace_corps_projects"	"projects_to"	"to_voluntary"	"all_peace_corps_projects"	"peace_corps_projects_to"	"projects_to_voluntary"	"to_voluntary_agencies"	"DT"	"NN"	"NNS"	"VB"	"VB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"half"	"all"	"peace_corps"	"projects"	"assign"	"to"	"voluntary"	"agencies"	"will"	"be"	"carry_out"	"by"	"religious"	"groups"	"according"	"to"	"an"	"official"	"of"	"the"	"corps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"of"	"``"	"develop"	"weights"	"develop_of"	"of_``"	"``_weights"	"been_develop_of"	"develop_of_``"	"of_``_weights"	"``_weights_''"	"VBN"	"VB"	"IN"	"VB"	"ε"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"methods"	"have"	"develop"	"of"	"assign"	"weights"	"to"	"statements"	"that_is"	"it"	"is"	"know"	"empirically"	"that"	"names"	"begin"	"with"	"r"	"be"	"more"	"common"	"than"	"those"	"begin"	"with"	"z"	"that"	"fewer"	"women"	"be"	"named"	"miranda"	"than"	"elizabeth"	"that"	"in"	"the"	"united_states"	"more"	"people"	"die"	"of"	"heart_disease"	"than"	"of"	"smallpox"	
"2:41:00::"	"policemen"	"as"	"six"	"dog_catchers"	"six_policemen"	"policemen_as"	"as_dog_catchers"	"pay_six_policemen"	"six_policemen_as"	"policemen_as_dog_catchers"	"as_dog_catchers_and"	"VB"	"CD"	"NNS"	"VB"	"IN"	"NN"	"CC"	"that"	"the"	"city"	"contributions"	"for"	"animal"	"care"	"include"	"to"	"the"	"women"	"s._p._c._a."	"to"	"pay"	"six"	"policemen"	"assign"	"dog_catchers"	"and"	"to"	"investigate"	"dog_bites"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"shall"	"such"	"attorney_general"	"officer"	"attorney_general_shall"	"shall_such"	"such_officer"	"the_attorney_general_shall"	"attorney_general_shall_such"	"shall_such_officer"	"such_officer_and"	"DT"	"NN"	"MD"	"VB"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"shall"	"assign"	"such"	"officer"	"and"	"employee"	"of"	"the"	"department_of_justice"	"as"	"may"	"be"	"necessary"	"to"	"represent"	"the"	"united_states"	"as"	"to"	"any"	"claim"	"of"	"the"	"government"	"of"	"the"	"united_states"	"with_respect_to"	"which"	"the"	"commission"	"have"	"jurisdiction"	"under"	"this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"work"	"concession"	"for"	"concession_in"	"in_work"	"work_for"	"seniority_concession_in"	"concession_in_work"	"in_work_for"	"work_for_old"	"NN"	"NN"	"IN"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"your"	"union"	"seniority"	"concession"	"in"	"assign"	"work"	"for"	"old"	"or"	"disabled"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
