"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"3:00:02::"	"∅"	"concrete"	"∅"	"block"	"∅_∅"	"∅_concrete"	"concrete_block"	"∅_∅_∅"	"∅_∅_concrete"	"∅_concrete_block"	"concrete_block_,"	"ε"	"ε"	"ε"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"concrete"	"block"	"relatively"	"heavy"	"and"	"dense"	"are"	"use"	"for"	"this"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"∅"	"block"	"∅"	"are"	"∅_∅"	"∅_block"	"block_are"	"∅_∅_∅"	"∅_∅_block"	"∅_block_are"	"block_are_recommend"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"block"	"are"	"recommend"	"because"	"hollow"	"block"	"would"	"have_to"	"be"	"fill"	"with"	"concrete"	"to"	"give"	"effective"	"protection"	"0"	"0"	"0"	"0"	
"5:00:00:unbroken:02"	"be"	"above"	"overcast"	"him"	"overcast_be"	"be_above"	"above_him"	"the_overcast_be"	"overcast_be_above"	"be_above_him"	"above_him_."	"DT"	"NN"	"VB"	"JJ"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"solid"	"above"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:good:01"	"a"	"left"	"home"	"to"	"home_a"	"a_left"	"left_to"	"drive_home_a"	"home_a_left"	"a_left_to"	"left_to_person"	"VB"	"RB"	"DT"	"JJ"	"NN"	"TO"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"manage"	"to"	"duck"	"beneath"	"the"	"man"	"fist"	"and"	"drive"	"home"	"a"	"solid"	"left"	"to"	"person"	"midsection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:good:01"	"a"	"musical"	"into"	"literature"	"into_a"	"a_musical"	"musical_literature"	"-_into_a"	"into_a_musical"	"a_musical_literature"	"musical_literature_which"	"ε"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"large"	"and"	"circumspect"	"century"	"technique"	"he"	"weave"	"the"	"material"	"of"	"national"	"hero"	"and"	"event"	"national"	"folklore"	"and"	"child"	"fairytale"	"slavic"	"dance"	"and"	"love"	"song"	"into"	"a"	"musical"	"literature"	"which"	"serve"	"his"	"people"	"well"	"and"	"is"	"provide"	"much"	"enjoyment"	"to"	"the"	"world"	"at_large"	"0"	"0"	"0"	"0"	
"1:27:04::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"packing_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"theoretical"	"study"	"of"	"the"	"hydrogen_bond"	"generally"	"agree"	"that"	"the"	"bond"	"will"	"linear"	"in"	"the"	"absence"	"of"	"peculiarity"	"of"	"packing"	"in"	"the"	"solid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:good:01"	"'s"	"single"	"person"	"to"	"person_'s"	"'s_single"	"single_to"	"and_person_'s"	"person_'s_single"	"'s_single_to"	"single_to_center"	"CC"	"NNP"	"POS"	"JJ"	"NN"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"double"	"by"	"person"	"person"	"run"	"score"	"two-baser"	"an"	"single"	"by"	"person"	"and"	"person"	"solid"	"single"	"to"	"center"	"put"	"the"	"group"	"back"	"in_front"	"in"	"the"	"last"	"of"	"the"	"fifth"	
"5:00:00:homogeneous:00"	"out_of"	"rock"	"carved"	"''"	"carved_out_of"	"out_of_rock"	"rock_''"	"``_carved_out_of"	"carved_out_of_rock"	"out_of_rock_''"	"rock_''_look"	"ε"	"JJ"	"RB"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"kind"	"of"	"chest"	"that"	"win"	"contest"	"that"	"steel"	"edged"	"carved"	"out_of"	"solid"	"rock"	"look"	"of"	"the"	"great"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:04::"	"suspended"	"problem"	"a"	"."	"a_suspended"	"suspended_problem"	"problem_."	"create_a_suspended"	"a_suspended_problem"	"suspended_problem_."	"problem_._∅"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"large"	"amount"	"of"	"vegetable"	"grinding"	"from"	"grocery_store"	"in"	"the"	"shopping_center"	"create"	"a"	"suspended"	"solid"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:04::"	"suspended"	"discharge"	"the"	"in"	"the_suspended"	"suspended_discharge"	"discharge_in"	"∅_the_suspended"	"the_suspended_discharge"	"suspended_discharge_in"	"discharge_in_the"	"ε"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suspended"	"solid"	"discharge"	"in"	"the"	"effluent"	"were"	"find"	"to"	"be"	"the"	"major"	"source"	"of"	"the"	"bod"	"0"	"0"	"0"	"0"	
