"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"2:35:04::"	"and_then"	"the"	","	"open"	",_and_then"	"and_then_the"	"the_open"	"men_,_and_then"	",_and_then_the"	"and_then_the_open"	"the_open_bottle"	"NNS"	"ε"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"get"	"the"	"pint"	"of"	"liquor"	"out"	"of"	"his"	"pocket"	"and"	"unscrew"	"top"	"sprinkle"	"the"	"pungent"	"stuff"	"liberally"	"over"	"both"	"men"	"and_then"	"toss"	"the"	"open"	"bottle"	"in"	"on"	"the"	"front"	"seat"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"and"	"the"	","	"lantern"	",_and"	"and_the"	"the_lantern"	"back_off_,_and"	",_and_the"	"and_the_lantern"	"the_lantern_with"	"VB"	"ε"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"shoulder"	"the"	"blanket"	"back_off"	"and"	"toss"	"the"	"lantern"	"with"	"its"	"open"	"wick"	"beneath"	"the"	"wagon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"person"	"them"	","	"into"	",_person"	"person_them"	"them_into"	"in_,_person"	",_person_them"	"person_them_into"	"them_into_the"	"RB"	"ε"	"NNP"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"report"	"in"	"person"	"toss"	"them"	"into"	"the"	"centrifuge"	"which"	"had"	"become"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"the"	"∅"	"bottle"	"∅_i"	"i_the"	"the_bottle"	"∅_∅_i"	"∅_i_the"	"i_the_bottle"	"the_bottle_."	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"toss"	"the"	"bottle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"are"	"repeatedly"	"dice"	","	"dice_are"	"are_repeatedly"	"repeatedly_,"	"three_dice_are"	"dice_are_repeatedly"	"are_repeatedly_,"	"repeatedly_,_what"	"JJ"	"NN"	"VBP"	"VB"	"RB"	"ε"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"dice"	"are"	"toss"	"repeatedly"	"what"	"be"	"the"	"probability"	"that"	"the"	"number"	"of"	"ace"	"be"	"or"	"or"	"or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"we"	"three"	","	"dice"	",_we"	"we_three"	"three_dice"	"ace_,_we"	",_we_three"	"we_three_dice"	"three_dice_("	"NN"	"ε"	"PRP"	"VB"	"JJ"	"NN"	"ε"	"marksman"	"we"	"study"	"set"	"of"	"five"	"shot"	"f"	"for"	"the"	"mouse"	"we"	"restrict"	"attention"	"to"	"litter"	"of"	"eight"	"f"	"and"	"for"	"the"	"ace"	"we"	"toss"	"three"	"dice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"∅"	"a"	"∅"	"die"	"∅_∅"	"∅_a"	"a_die"	"∅_∅_∅"	"∅_∅_a"	"∅_a_die"	"a_die_until"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"die"	"until"	"an"	"ace"	"appear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"is"	"to"	"coin"	"decide"	"coin_is"	"is_to"	"to_decide"	"a_coin_is"	"coin_is_to"	"is_to_decide"	"to_decide_."	"DT"	"NN"	"VBZ"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"family"	"of"	"five"	"plan"	"to"	"go"	"together"	"either"	"to"	"beach"	"or"	"to"	"the"	"mountain"	"and"	"a"	"coin"	"is"	"toss"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"person"	"into"	"which"	"the"	"which_person"	"person_into"	"into_the"	",_which_person"	"which_person_into"	"person_into_the"	"into_the_group"	"ε"	"WDT"	"NNP"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"resolution"	"person"	"toss"	"into"	"the"	"group"	"hopper"	"friday"	"will"	"be"	"formally"	"read"	"monday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"next"	"415"	"'s"	"foot"	"'s_next"	"next_415"	"415_foot"	"person_'s_next"	"'s_next_415"	"next_415_foot"	"415_foot_over"	"NNP"	"POS"	"JJ"	"NN"	"CD"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"work"	"a"	"walk"	"as"	"the"	"first"	"batter"	"to"	"person"	"and"	"romp"	"around"	"as"	"person"	"blast"	"person"	"next"	"toss"	"foot"	"over"	"the"	"scoreboard"	"in"	"right"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
