"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"1:06:00::"	"semiskilled"	"operator"	"of"	"."	"of_semiskilled"	"semiskilled_operator"	"operator_."	"large_number_of_semiskilled"	"of_semiskilled_operator"	"semiskilled_operator_."	"operator_._∅"	"NN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"training"	"need"	"of"	"a"	"new"	"industrial"	"plant"	"be"	"short"	"period"	"of"	"pre"	"employment"	"training"	"for"	"a"	"large_number"	"of"	"semiskilled"	"machine"	"operator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"not"	","	","	"be"	",_not"	"not_,"	",_be"	"idea_,_not"	",_not_,"	"not_,_be"	",_be_our"	"NN"	"ε"	"RB"	"NN"	"ε"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"this"	"danger"	"however"	"we"	"are"	"inform"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	
"1:06:00::"	"gum"	"in"	"the"	"a"	"the_gum"	"gum_in"	"in_a"	"to_the_gum"	"the_gum_in"	"gum_in_a"	"in_a_narrow"	"TO"	"DT"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"safe"	"at"	"group"	"next"	"to"	"the"	"gum"	"machine"	"in"	"a"	"narrow"	"passageway"	"that"	"lead"	"to"	"person"	"office"	"to"	"the"	"left"	"the"	"lieutenant"	"office"	"far"	"along"	"and"	"to"	"the"	"left"	"and"	"the"	"janitor"	"supply_closet"	"straight"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"new"	"of"	"of"	"war"	"of_new"	"new_of"	"of_war"	"addition_of_new"	"of_new_of"	"new_of_war"	"of_war_."	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"the"	"network"	"for"	"military"	"communication"	"be"	"one"	"of"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"for"	"dishwasher"	"expressly"	","	"expressly_for"	"for_dishwasher"	"dishwasher_,"	"make_expressly_for"	"expressly_for_dishwasher"	"for_dishwasher_,"	"dishwasher_,_and"	"VB"	"RB"	"IN"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"surface"	"cleaning"	"in"	"household"	"application"	"is"	"represent"	"by"	"two"	"class"	"alkaline"	"product"	"the"	"formulation"	"make"	"expressly"	"for"	"machine"	"dishwasher"	"and"	"the"	"general-purpose"	"cleaner"	"use"	"for"	"wall"	"and"	"woodwork"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"-"	"from"	"which"	"from_the"	"the_-"	"-_which"	"extend_from_the"	"from_the_-"	"the_-_which"	"-_which_consist_of"	"VB"	"IN"	"DT"	"NN"	"ε"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"he"	"apply"	"applicator"	"extend"	"from"	"the"	"machine"	"which"	"consist_of"	"seven"	"differently"	"colored"	"neon_tube"	"superimpose"	"on"	"a"	"rectangular"	"base"	"to"	"the"	"supposedly"	"diseased"	"portion"	"of"	"person"	"body"	"person"	"keep_up"	"a"	"steady"	"stream"	"of"	"pseudo"	"scientific"	"mumbo_jumbo"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"-"	"of"	"for"	"of_his"	"his_-"	"-_for"	"one_of_his"	"of_his_-"	"his_-_for"	"-_for_$"	"JJ"	"IN"	"PRP$"	"NN"	"ε"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"urge"	"her"	"buy"	"one"	"of"	"his"	"machine"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"when"	"buy"	"she"	"buy_his"	"his_when"	"when_she"	"to_buy_his"	"buy_his_when"	"his_when_she"	"when_she_visit"	"TO"	"VB"	"PRP$"	"NN"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"renew"	"his"	"pressure"	"person"	"to"	"buy"	"his"	"machine"	"when"	"she"	"visit"	"him"	"the"	"next"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"ozone"	"."	"his"	"∅"	"his_ozone"	"ozone_."	"._∅"	"for_his_ozone"	"his_ozone_."	"ozone_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"never"	"get_around_to"	"join"	"the"	"thousand"	"or_so"	"people"	"pay"	"person"	"some"	"for"	"his"	"ozone"	"machine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"phony"	"for"	"his"	"$"	"his_phony"	"phony_for"	"for_$"	"sell_his_phony"	"his_phony_for"	"phony_for_$"	"for_$_5"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gadget"	"faker"	"or"	"sell"	"his"	"phony"	"machine"	"for"	"to"	"anything"	"the"	"traffic"	"will"	"bear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
