"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:32:00::"	"alwin_nikolais"	"to"	"∅"	"art"	"∅_alwin_nikolais"	"alwin_nikolais_to"	"to_art"	"∅_∅_alwin_nikolais"	"∅_alwin_nikolais_to"	"alwin_nikolais_to_art"	"to_art_as"	"ε"	"ε"	"NNP"	"VB"	"TO"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"object"	"to"	"art"	"as"	"an"	"outpouring"	"of"	"personal"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"on"	"philadelphia_hotel_association"	"tuesday"	"philadelphia_hotel_association_,"	",_on"	"on_tuesday"	"the_philadelphia_hotel_association_,"	"philadelphia_hotel_association_,_on"	",_on_tuesday"	"on_tuesday_to"	"DT"	"NNP"	"ε"	"VB"	"IN"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"samuel_d._goodis"	"represent"	"philadelphia_hotel_association"	"object"	"on"	"tuesday"	"to"	"a"	"proposed"	"boost"	"by"	"the"	"city"	"in"	"licensing_fees"	"say"	"that"	"occupancy_rates"	"in"	"major"	"hotels"	"here"	"range"	"from"	"to"	"percent"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"on"	"in"	"dust"	"a"	"dust_on"	"on_in"	"in_a"	"blow_dust_on"	"dust_on_in"	"on_in_a"	"in_a_room"	"VB"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"dust"	"on"	"object"	"in"	"a"	"room"	"on"	"the"	"seventeenth"	"floor"	"of"	"the"	"location"	"and"	"blow"	"it"	"off"	"again"	"and"	"do"	"the"	"same"	"in"	"a"	"tiny"	"almost"	"airless"	"room"	"in"	"a"	"tenement"	"in"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"soiled"	"."	"the"	"∅"	"the_soiled"	"soiled_."	"._∅"	"on_the_soiled"	"the_soiled_."	"soiled_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stain"	"which"	"include"	"the"	"wide"	"variety"	"of"	"nonparticulate"	"material"	"which"	"give"	"color"	"even"	"when"	"in"	"very"	"low"	"concentration"	"on"	"the"	"soiled"	"object"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"soiled"	"is"	"the"	"mechanically"	"the_soiled"	"soiled_is"	"is_mechanically"	"on_the_soiled"	"the_soiled_is"	"soiled_is_mechanically"	"is_mechanically_hold"	"IN"	"DT"	"JJ"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dirt"	"the"	"soiled"	"object"	"is"	"mechanically"	"hold"	"by"	"surface"	"irregularity"	"to"	"some"	"extent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"the"	"on"	"touch"	"the"	"touch_the"	"the_on"	"on_the"	"hand_touch_the"	"touch_the_on"	"the_on_the"	"on_the_improvised"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"stand"	"in"	"the"	"shelter"	"of"	"the"	"tent"	"a"	"rejected"	"hospital"	"tent"	"on"	"which"	"the"	"rain"	"now"	"drip"	"no_longer"	"drum"	"person"	"watch"	"his"	"own"	"hand"	"the"	"object"	"on"	"the"	"improvised"	"counter"	"of"	"board"	"lay"	"across"	"two"	"beef"	"barrel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"locate"	"in"	"in"	"space"	"in_locate"	"locate_in"	"in_space"	"and_in_locate"	"in_locate_in"	"locate_in_space"	"in_space_with"	"CC"	"IN"	"VB"	"NN"	"IN"	"NN"	"IN"	"argument"	"is"	"accept"	"as"	"essentially"	"sound"	"up"	"to"	"this"	"point"	"it"	"remain"	"for"	"us"	"to"	"consider"	"whether"	"the"	"patient"	"difficulty"	"in"	"orient"	"himself"	"spatially"	"and"	"locate"	"in"	"space"	"with"	"the"	"sense_of_touch"	"can"	"be"	"explain"	"by"	"his"	"defective"	"visual"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"same"	"or"	"the"	"with"	"the_same"	"same_or"	"or_with"	"with_the_same"	"the_same_or"	"same_or_with"	"or_with_the"	"IN"	"DT"	"JJ"	"NN"	"CC"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"one"	"would"	"surmise"	"the"	"procedure"	"however"	"be"	"repeat"	"with"	"the"	"same"	"object"	"or"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"the"	"corresponding"	"visual"	"blot"	"and"	"the"	"mere"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"then"	"immediately"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	
"1:03:00::"	"of"	"often"	"type"	"enough"	"type_of"	"of_often"	"often_enough"	"same_type_of"	"type_of_often"	"of_often_enough"	"often_enough_,"	"JJ"	"NN"	"IN"	"NN"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"one"	"would"	"surmise"	"the"	"procedure"	"however"	"could"	"be"	"repeat"	"with"	"the"	"same"	"object"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"the"	"corresponding"	"visual"	"blot"	"and"	"the"	"mere"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"then"	"immediately"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"see"	"in"	"of"	"space"	"of_see"	"see_in"	"in_space"	"instead_of_see"	"of_see_in"	"see_in_space"	"in_space_,"	"RB"	"IN"	"VB"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather"	"than"	"being"	"deceive"	"the"	"eye"	"puzzle"	"instead"	"of"	"see"	"object"	"in"	"space"	"it"	"see"	"nothing"	"more"	"than"	"a"	"picture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
