"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:31:00::"	"rourke"	"his"	"and"	"watch"	"and_rourke"	"rourke_his"	"his_watch"	",_and_rourke"	"and_rourke_his"	"rourke_his_watch"	"his_watch_and"	"ε"	"CC"	"NNP"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"stride"	"out"	"and"	"rourke"	"check"	"his"	"watch"	"and"	"sip"	"his"	"drink"	"get"	"a"	"dime"	"ready_to"	"make"	"the"	"telephone_call"	"to"	"the"	"police"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:08::"	"to"	"the"	"steps"	"rapid_growth"	"steps_to"	"to_the"	"the_rapid_growth"	"extraordinary_steps_to"	"steps_to_the"	"to_the_rapid_growth"	"the_rapid_growth_of"	"JJ"	"NNS"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"white_house"	"is"	"extraordinary"	"steps"	"to"	"check"	"the"	"rapid_growth"	"of"	"juvenile_delinquency"	"in"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:08::"	"to"	"and"	"need"	"discipline"	"need_to"	"to_and"	"and_discipline"	"frequent_need_to"	"need_to_and"	"to_and_discipline"	"and_discipline_himself"	"JJ"	"NN"	"VB"	"VB"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"or"	"the"	"need"	"to"	"check"	"and"	"discipline"	"himself"	"to"	"the"	"wisest"	"pace"	"of"	"the"	"consummation"	"can"	"put"	"him"	"off"	"stride"	"and"	"make"	"it"	"impossible"	"for"	"him"	"to"	"be"	"continuously"	"ready"	"for"	"penetration"	"over"	"a"	"long"	"period"	
"2:31:00::"	"have"	"her"	"we"	"in"	"we_have"	"have_her"	"her_in"	"``_we_have"	"we_have_her"	"have_her_in"	"her_in_different"	"ε"	"PRP"	"VBP"	"VB"	"PRP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"check"	"her"	"in"	"different"	"parts"	"of"	"europe"	"and"	"egypt"	"and"	"finally"	"back"	"into"	"this"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"could"	"the"	"they"	"story"	"they_could"	"could_the"	"the_story"	",_they_could"	"they_could_the"	"could_the_story"	"the_story_while"	"ε"	"PRP"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"i"	"could"	"they"	"could"	"check"	"the"	"story"	"while"	"we"	"be"	"on"	"our"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"the"	"garage"	"jeep"	"garage_he"	"he_the"	"the_jeep"	"the_garage_he"	"garage_he_the"	"he_the_jeep"	"the_jeep_for"	"DT"	"NN"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"garage"	"he"	"check"	"the"	"jeep"	"for"	"signs"	"of"	"the"	"use"	"he"	"had"	"make"	"of_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"on"	"∅"	"the"	"∅_∅"	"∅_on"	"on_the"	"∅_∅_∅"	"∅_∅_on"	"∅_on_the"	"on_the_school"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"school"	"in"	"the"	"area"	"the"	"quality"	"of"	"teaching"	"and"	"the"	"provision"	"for"	"transportation"	"to"	"and"	"from"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"you"	"the"	"have"	"cost"	"have_you"	"you_the"	"the_cost"	"∅_have_you"	"have_you_the"	"you_the_cost"	"the_cost_of"	"ε"	"VBP"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"check"	"the"	"cost"	"of"	"subcontract"	"your"	"cafeteria"	"operation"	"in_order"	"to"	"save"	"administrative"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"∅"	"to"	"∅"	"see"	"∅_∅"	"∅_to"	"to_see"	"∅_∅_∅"	"∅_∅_to"	"∅_to_see"	"to_see_if"	"ε"	"ε"	"ε"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"see"	"if"	"some"	"of"	"your"	"benefit"	"such_as"	"on_the_job"	"disability"	"pay"	"can"	"be"	"put"	"on"	"a"	"direct"	"payment"	"rather"	"than"	"an"	"insured"	"basis"	"at"	"a"	"saving"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"your"	"∅"	"cafeteria"	"∅_∅"	"∅_your"	"your_cafeteria"	"∅_∅_∅"	"∅_∅_your"	"∅_your_cafeteria"	"your_cafeteria_location"	"ε"	"ε"	"ε"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"cafeteria"	"location"	"to"	"make"	"sure"	"it"	"be"	"convenient"	"for"	"most"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
