"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:38:00::"	"and"	"it"	"4"	"down"	"4_and"	"and_it"	"it_down"	"t_4_and"	"4_and_it"	"and_it_down"	"it_down_to"	"NN"	"CD"	"CC"	"VB"	"PRP"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"directly"	"across"	"from"	"the"	"gardens"	"i"	"a"	"bus_stop"	"sign"	"for"	"t"	"and"	"ride"	"it"	"down"	"to"	"the"	"bosphorus"	"with"	"the"	"sports"	"center"	"on"	"my"	"left"	"just"	"before"	"i"	"reach"	"the"	"water"	"and"	"the"	"entrance"	"to"	"dolmabahce_palace"	"immediately"	"after_that"	
"2:38:00::"	"i"	"through"	"golden_horn"	"eminonu_square"	"golden_horn_i"	"i_through"	"through_eminonu_square"	"the_golden_horn_i"	"golden_horn_i_through"	"i_through_eminonu_square"	"through_eminonu_square_,"	"DT"	"NNP"	"PRP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"side"	"the"	"golden_horn"	"i"	"ride"	"through"	"eminonu_square"	"with"	"yeni_cami"	"or"	"the"	"new_mosque"	"which"	"date_from"	"the"	"seventeenth"	"century"	"just"	"across"	"from"	"the"	"entrance"	"to"	"the"	"bridge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"up"	"stop"	"the"	"stop_and"	"and_up"	"up_the"	"streetcar_stop_and"	"stop_and_up"	"and_up_the"	"up_the_hill"	"NN"	"NN"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"back"	"at"	"the"	"kaiser"	"fountain"	"i"	"walk"	"to"	"the"	"streetcar"	"stop"	"and"	"ride"	"up"	"the"	"hill"	"any"	"car"	"will"	"do"	"past"	"the"	"column"	"of"	"constantine"	"also_known_as"	"the"	"burnt"	"column"	"at"	"the"	"top"	"on"	"my"	"right"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"."	"enough"	"∅"	"enough_to"	"to_."	"._∅"	"strong_enough_to"	"enough_to_."	"to_._∅"	"._∅_∅"	"JJ"	"RB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"debate"	"it"	"try"	"to"	"decide"	"fiske"	"be"	"strong"	"enough"	"to"	"ride"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"were"	"slide"	"they"	"into"	"they_were"	"were_slide"	"slide_into"	"car_they_were"	"they_were_slide"	"were_slide_into"	"slide_into_a"	"NN"	"PRP"	"VBD"	"VB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"young_man"	"was"	"kill"	"and"	"two"	"injure"	"midnight"	"friday"	"when"	"the"	"car"	"they"	"were"	"ride"	"slide"	"into"	"a"	"utility"	"pole"	"on"	"lake_avenue"	"near"	"waddell_street"	"ne"	"police"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"down"	"ceremonies"	"this"	"ceremonies_and"	"and_down"	"down_this"	"oath-taking_ceremonies_and"	"ceremonies_and_down"	"and_down_this"	"down_this_historic"	"NN"	"NNS"	"CC"	"VB"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assume"	"the"	"weather"	"be"	"halfway"	"decent"	"that"	"day"	"hundreds"	"of"	"thousands"	"of"	"persons"	"will"	"mass"	"along"	"this"	"thoroughfare"	"as"	"president_john_f._kennedy"	"and"	"retiring"	"president_dwight_d._eisenhower"	"leave"	"following"	"the"	"oath-taking"	"ceremonies"	"and"	"ride"	"down"	"this"	"historic"	"ceremonial"	"route"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"this"	"now"	"hospital"	"now_,"	",_this"	"this_hospital"	"∅_now_,"	"now_,_this"	",_this_hospital"	"this_hospital_bus"	"ε"	"RB"	"ε"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ride"	"this"	"hospital"	"bus"	"feel"	"isolated"	"and"	"utterly"	"alone"	"i"	"know"	"that"	"she"	"be"	"genuine"	"and"	"unique"	"quite"	"unlike"	"any"	"girl"	"i"	"had"	"know"	"before"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"a"	"had"	"streetcar"	"had_to"	"to_a"	"a_streetcar"	"i_had_to"	"had_to_a"	"to_a_streetcar"	"a_streetcar_two"	"PRP"	"VB"	"VB"	"VB"	"DT"	"NN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"to"	"ride"	"a"	"streetcar"	"two"	"miles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"they"	"at"	"∅"	"a"	"∅_they"	"they_at"	"at_a"	"∅_∅_they"	"∅_they_at"	"they_at_a"	"at_a_measured"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ride"	"at"	"a"	"measured"	"pace"	"through"	"the"	"valley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"up"	"lobby"	"in"	"lobby_and"	"and_up"	"up_in"	"the_lobby_and"	"lobby_and_up"	"and_up_in"	"up_in_the"	"DT"	"NN"	"CC"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"cross"	"lobby"	"and"	"ride"	"up"	"in"	"the"	"elevator"	"lost"	"in"	"his"	"own"	"thought"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
