"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:21:00::"	"and"	"."	"profit"	"∅"	"profit_and"	"and_."	"._∅"	"than_profit_and"	"profit_and_."	"and_._∅"	"._∅_∅"	"IN"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"there"	"is"	"a"	"more"	"profound"	"consideration"	"this"	"proposed"	"merger"	"than"	"profit"	"and"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"reduce"	"from"	"and"	"bacterial"	"and_reduce"	"reduce_from"	"from_bacterial"	",_and_reduce"	"and_reduce_from"	"reduce_from_bacterial"	"from_bacterial_infection"	"ε"	"CC"	"VB"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"gain"	"improve"	"feed"	"and"	"reduce"	"loss"	"from"	"bacterial"	"infection"	"list"	"under"	"how"	"to"	"feed"	"section"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"reduce"	"due_to"	"in"	"enterotoxemia"	"in_reduce"	"reduce_due_to"	"due_to_enterotoxemia"	"aid_in_reduce"	"in_reduce_due_to"	"reduce_due_to_enterotoxemia"	"due_to_enterotoxemia_("	"NN"	"IN"	"VB"	"NN"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"an"	"in"	"reduce"	"loss"	"due_to"	"enterotoxemia"	"overeating"	"disease"	"feed"	"a"	"complete"	"ration"	"contain"	"not"	"less"	"than"	"and"	"not"	"more"	"than"	"gram"	"of"	"aureomycin"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"reduce"	"from"	"∅"	"stomach"	"∅_reduce"	"reduce_from"	"from_stomach"	"∅_∅_reduce"	"∅_reduce_from"	"reduce_from_stomach"	"from_stomach_,"	"ε"	"ε"	"VB"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"loss"	"from"	"stomach"	"hookworm"	"and"	"nodular"	"worm"	"by"	"interfere"	"with"	"reproduction"	"of"	"the"	"female"	"worm"	"by"	"reduce"	"the"	"number"	"of"	"egg"	"lay"	"and"	"essentially"	"render"	"all"	"lay"	"egg"	"sterile"	
"1:07:00::"	"serious"	"for"	"a"	"dance"	"a_serious"	"serious_for"	"for_dance"	",_a_serious"	"a_serious_for"	"serious_for_dance"	"for_dance_fan"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"group"	"will"	"fly"	"back"	"to"	"minus"	"a"	"chicago"	"engagement"	"a"	"serious"	"loss"	"for"	"dance"	"fan"	"and"	"for"	"the"	"frustrated"	"booker"	"cancellation"	"of"	"one"	"of"	"the"	"rich"	"booking"	"in"	"the"	"country"	"0"	"0"	"0"	"0"	
"1:04:00::"	"four"	"in"	"bring"	"the"	"bring_four"	"four_in"	"in_the"	"has_bring_four"	"bring_four_in"	"four_in_the"	"in_the_five"	"VBZ"	"VB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"eager"	"to"	"end"	"a"	"slump"	"that"	"has"	"bring"	"four"	"loss"	"in"	"the"	"five"	"game"	"on"	"the"	"current"	"home"	"stand"	"move"	"person"	"to"	"the"	"wednesday"	"night"	"starting"	"assignment"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	","	"with"	"his"	"with_the"	"the_,"	",_his"	"tag_with_the"	"with_the_,"	"the_,_his"	",_his_second"	"VB"	"IN"	"DT"	"NN"	"ε"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"with"	"the"	"loss"	"his"	"second"	"against"	"no"	"victory"	"while"	"person"	"win"	"his"	"second"	"game"	"against"	"a"	"single"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"single"	"."	"a"	"∅"	"a_single"	"single_."	"._∅"	"against_a_single"	"a_single_."	"single_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"tag"	"with"	"the"	"loss"	"his"	"second"	"against"	"no"	"while"	"person"	"win"	"his"	"second"	"game"	"against"	"a"	"single"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"of"	"the"	"consciousness"	"great"	"consciousness_of"	"of_the"	"the_great"	"the_consciousness_of"	"consciousness_of_the"	"of_the_great"	"the_great_."	"DT"	"NN"	"IN"	"NN"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"settled"	"area"	"of"	"state"	"like"	"virginia"	"and"	"south_carolina"	"develop"	"the"	"antebellum"	"culture"	"to"	"its"	"flowering"	"and"	"there"	"the"	"memory"	"be"	"more"	"precious"	"and"	"the"	"consciousness"	"of"	"loss"	"the"	"great"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:01::"	"continual"	"of"	"a"	"micrometeoritic"	"a_continual"	"continual_of"	"of_micrometeoritic"	"be_a_continual"	"a_continual_of"	"continual_of_micrometeoritic"	"of_micrometeoritic_material"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"there"	"a"	"continual"	"loss"	"of"	"micrometeoritic"	"material"	"in"	"space"	"because"	"of"	"the"	"radiation"	"effect"	"there"	"must"	"be"	"a"	"continual"	"replenishment"	"micrometeorite"	"would"	"have"	"disappear"	"from"	"interplanetary_space"	"0"	"0"	"0"	"0"	
