"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:06:00::"	"industrial"	"to"	"and"	"determine"	"and_industrial"	"industrial_to"	"to_determine"	"commercial_and_industrial"	"and_industrial_to"	"industrial_to_determine"	"to_determine_what"	"JJ"	"CC"	"JJ"	"NN"	"TO"	"VB"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal_government"	"is"	"aid"	"local_government"	"in"	"several"	"to"	"survey"	"residential"	"commercial"	"and"	"industrial"	"building"	"to"	"determine"	"what"	"fallout"	"protection"	"they"	"would"	"provide"	"and"	"for"	"how"	"many"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"hotel"	"."	"his"	"∅"	"his_hotel"	"hotel_."	"._∅"	"of_his_hotel"	"his_hotel_."	"hotel_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"walk"	"end"	"inevitably"	"right"	"front"	"of"	"his"	"hotel"	"building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"whole"	","	"the"	"as"	"the_whole"	"whole_,"	",_as"	"own_the_whole"	"the_whole_,"	"whole_,_as"	",_as_though"	"VB"	"DT"	"JJ"	"NN"	"ε"	"IN"	"IN"	"a"	"paranoid"	"woman"	"for"	"many"	"month"	"infuriate"	"not_only"	"me"	"but"	"the"	"ward"	"personnel"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"whole"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"shake"	"∅"	","	"∅_the"	"the_shake"	"shake_,"	"∅_∅_the"	"∅_the_shake"	"the_shake_,"	"shake_,_set"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"building"	"shake"	"set"	"the"	"lantern"	"to"	"sway"	"and"	"the"	"buckskin"	"to"	"pitch"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"into"	"∅"	"into_the"	"the_."	"._∅"	"disappear_into_the"	"into_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"person"	"had"	"not"	"stay_on"	"the"	"steps"	"when"	"person"	"disappear"	"into"	"the"	"building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"next"	"and"	"the"	"find"	"the_next"	"next_and"	"and_find"	"to_the_next"	"the_next_and"	"next_and_find"	"and_find_what"	"TO"	"DT"	"JJ"	"NN"	"CC"	"VB"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"go_on"	"the"	"next"	"building"	"and"	"find"	"what"	"he"	"expect"	"the"	"mingle"	"cooking"	"aroma"	"of"	"a"	"public"	"vestibule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"while"	"towards"	"person"	"towards_the"	"the_while"	"while_person"	"run_towards_the"	"towards_the_while"	"the_while_person"	"while_person_,"	"VB"	"IN"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"first"	"report"	"person"	"horse"	"wheel"	"the"	"right"	"and"	"run"	"towards"	"the"	"building"	"while"	"person"	"follow"	"by"	"a"	"hail"	"of"	"bullet"	"race"	"towards"	"the"	"arroyo"	"of"	"location"	"immediately"	"in_front_of"	"him"	"just"	"reach"	"it"	"as"	"his"	"horse"	"fall"	
"1:06:00::"	"modern"	"has"	"of"	"bring"	"of_modern"	"modern_has"	"has_bring"	"interior_of_modern"	"of_modern_has"	"modern_has_bring"	"has_bring_clearly"	"NN"	"IN"	"JJ"	"NN"	"VBZ"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"controversy"	"of"	"the"	"last"	"few"	"year"	"over"	"architect"	"or"	"interior_designer"	"should"	"plan"	"the"	"interior"	"of"	"modern"	"building"	"has"	"bring"	"clearly"	"into"	"focus"	"one"	"important"	"difference_of_opinion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"projected"	"where"	"or"	"either"	"or_projected"	"projected_where"	"where_either"	"extant_or_projected"	"or_projected_where"	"projected_where_either"	"where_either_architect"	"JJ"	"CC"	"JJ"	"NN"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"of_course"	"to"	"extant"	"or"	"projected"	"building"	"where"	"either"	"architect"	"or"	"owner"	"will"	"explain"	"their"	"necessity"	"so_that"	"the"	"student"	"may"	"get"	"the"	"feel"	"of"	"real"	"interior_design"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"false-fronted"	","	"of"	"a"	"of_false-fronted"	"false-fronted_,"	",_a"	"row_of_false-fronted"	"of_false-fronted_,"	"false-fronted_,_a"	",_a_water_tower"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"town"	"be"	"about"	"what"	"person"	"expect"	"main_street"	"with"	"its"	"row"	"of"	"false-fronted"	"building"	"a"	"water_tower"	"a_few"	"warehouse"	"a"	"single"	"hotel"	"all"	"dusty"	"and"	"sunbaked"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	","	"freeway"	",_the"	"the_of"	"of_freeway"	"however_,_the"	",_the_of"	"the_of_freeway"	"of_freeway_and"	"RB"	"ε"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"building"	"of"	"freeway"	"and"	"garage"	"cannot"	"continue"	"forever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"contain"	","	"and"	"road"	"and_contain"	"contain_,"	",_road"	"improve_and_contain"	"and_contain_,"	"contain_,_road"	",_road_,"	"VB"	"CC"	"VB"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"area"	"may"	"already"	"been"	"improve"	"and"	"contain"	"building"	"road"	"utility"	"clear"	"land"	"etcetera"	"which"	"may"	"raise"	"the"	"cost"	"of"	"the"	"site"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"to"	"erect"	"house"	"erect_a"	"a_to"	"to_house"	"begin_erect_a"	"erect_a_to"	"a_to_house"	"to_house_its"	"VB"	"VB"	"DT"	"NN"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"group"	"erect"	"a"	"building"	"to"	"house"	"its"	"operation"	"on"	"the"	"corner"	"of"	"location"	"and"	"what"	"be"	"now"	"location"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"civil"	"."	"of"	"∅"	"of_civil"	"civil_."	"._∅"	"boundary_of_civil"	"of_civil_."	"civil_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"stop"	"at"	"location"	"and"	"quickly"	"at"	"the"	"boundary"	"of"	"civil"	"building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
