"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"2:30:00::"	"which"	"another"	"bottom"	"dim"	"bottom_which"	"which_another"	"another_dim"	"the_bottom_which"	"bottom_which_another"	"which_another_dim"	"another_dim_bulb"	"DT"	"NN"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"stairway"	"on_the_right"	"be"	"dark"	"but"	"there"	"a"	"wall-switch"	"at"	"the"	"bottom"	"which"	"light"	"another"	"dim"	"bulb"	"at"	"the"	"top"	"and"	"they"	"go_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"upon"	","	"him"	",_and"	"and_upon"	"upon_him"	"dove_,_and"	",_and_upon"	"and_upon_him"	"upon_him_''"	"NN"	"ε"	"CC"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"jesus"	"he"	"was"	"baptize"	"go_up"	"straightway"	"out"	"of"	"the"	"water"	"and"	"lo"	"the"	"heavens"	"were"	"open"	"unto"	"him"	"he"	"see"	"the"	"spirit"	"of"	"god"	"descend"	"like"	"a"	"dove"	"and"	"light"	"upon"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"and"	"another"	","	"candle"	",_and"	"and_another"	"another_candle"	"please_,_and"	",_and_another"	"and_another_candle"	"another_candle_,"	"RB"	"ε"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pass"	"the"	"iron"	"please"	"and"	"light"	"another"	"candle"	"for"	"it"	"get"	"dark"	"down"	"here"	"and"	"we"	"be"	"minded"	"to"	"read"	"a_bit"	"of"	"world"	"law"	"just"	"to"	"pass"	"the"	"time"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	","	"with"	"plane"	"most"	"plane_,"	",_with"	"with_most"	"the_plane_,"	"plane_,_with"	",_with_most"	"with_most_of"	"DT"	"NN"	"ε"	"JJ"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"light"	"with"	"most"	"of"	"the"	"gas"	"burn"	"out"	"respond"	"beautifully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	","	"happen"	"neither"	"happen_to"	"to_,"	",_neither"	"it_happen_to"	"happen_to_,"	"to_,_neither"	",_neither_did"	"PRP"	"VB"	"VB"	"VB"	"ε"	"DT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"the"	"trial"	"did"	"not"	"expose"	"the"	"special"	"nazi"	"mania"	"deadly"	"to"	"jew"	"as_well_as"	"to"	"anyone"	"upon"	"whom"	"it"	"happen"	"to"	"light"	"neither"	"did"	"it"	"warn"	"very"	"effectively"	"against"	"the"	"ordinary"	"anti-semitism"	"of"	"which"	"the"	"nazi"	"make"	"such"	"effective"	"use"	"in"	"germany"	"and"	"wherever"	"else"	"they"	"could"	"find"	"it"	
"1:09:01::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"∅_in_the"	"in_the_of"	"the_of_the"	"of_the_fact"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"light"	"of"	"the"	"fact"	"at_hand"	"however"	"group"	"intend"	"to"	"pursue"	"the"	"objective"	"of"	"help"	"to"	"create"	"a"	"healthy"	"two"	"system"	"eastern"	"railroad"	"structure"	"in"	"the"	"public"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::;1:07:01::"	"the"	"and"	"with"	"dark"	"with_the"	"the_and"	"and_dark"	"hotel_with_the"	"with_the_and"	"the_and_dark"	"and_dark_of"	"NN"	"IN"	"DT"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lunch"	"be"	"over"	"and"	"we"	"walk"	"to"	"the"	"hotel"	"with"	"the"	"light"	"and"	"dark"	"of"	"paris"	"scream"	"at"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"xenon"	"which"	"mercury"	"serve"	"mercury_xenon"	"xenon_which"	"which_serve"	"three_mercury_xenon"	"mercury_xenon_which"	"xenon_which_serve"	"which_serve_as"	"JJ"	"NN"	"NN"	"NN"	"WDT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"different"	"wavelength"	"of"	"ultraviolet_radiation"	"are"	"select"	"by"	"variable"	"filter"	"place"	"in_front_of"	"the"	"three"	"mercury"	"xenon"	"light"	"which"	"serve"	"as"	"the"	"ultraviolet"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"another"	"entirely"	"in"	"."	"in_another"	"another_entirely"	"entirely_."	"regard_in_another"	"in_another_entirely"	"another_entirely_."	"entirely_._∅"	"VB"	"IN"	"JJ"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"also"	"sir"	"two"	"article"	"which"	"were"	"consider"	"now"	"must"	"be"	"regard"	"in"	"another"	"light"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::;1:19:00::"	"a"	"in"	"see"	"the"	"see_a"	"a_in"	"in_the"	",_see_a"	"see_a_in"	"a_in_the"	"in_the_office"	"ε"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"start"	"back"	"for"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
