"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"4:02:00::"	"education"	"provide"	"vocational"	"financial_aid"	"vocational_education"	"education_provide"	"provide_financial_aid"	"of_vocational_education"	"vocational_education_provide"	"education_provide_financial_aid"	"provide_financial_aid_to"	"IN"	"JJ"	"NN"	"RB"	"VB"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal"	"of"	"vocational"	"education"	"merely"	"provide"	"financial_aid"	"to"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"in"	","	"the"	",_not"	"not_in"	"in_the"	"earth_,_not"	",_not_in"	"not_in_the"	"in_the_limited"	"NN"	"ε"	"RB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"already"	"commit"	"to"	"establish"	"man"	"supremacy"	"nature"	"and"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"whether"	"ask"	"communist"	"ask_not"	"not_whether"	"whether_communist"	"to_ask_not"	"ask_not_whether"	"not_whether_communist"	"whether_communist_troops"	"TO"	"VB"	"RB"	"RB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"answer"	"these"	"question"	"need"	"to"	"ask"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"cross"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"and"	"not"	"merely"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"be"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	
"4:02:00::"	"not"	"whether"	"and"	"disciplined"	"and_not"	"not_whether"	"whether_disciplined"	",_and_not"	"and_not_whether"	"not_whether_disciplined"	"whether_disciplined_agent"	"ε"	"CC"	"RB"	"RB"	"IN"	"JJ"	"NN"	"these"	"question"	"we"	"need"	"to"	"ask"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"cross"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"not"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"be"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"by"	"and"	"argument"	"and_not"	"not_by"	"by_argument"	",_and_not"	"and_not_by"	"not_by_argument"	"by_argument_and"	"ε"	"CC"	"RB"	"RB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"idea"	"need"	"to"	"test"	"and"	"not"	"merely"	"by"	"argument"	"and"	"debate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"a"	","	"channel"	",_not"	"not_a"	"a_channel"	"does_,_not"	",_not_a"	"not_a_channel"	"a_channel_for"	"VB"	"ε"	"RB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"discover"	"in"	"the"	"process"	"of"	"as"	"the"	"born"	"writer"	"does"	"not"	"merely"	"a"	"channel"	"for"	"the"	"discharge"	"of"	"accumulate"	"information"	"but"	"a"	"stimulus"	"to"	"the"	"development"	"of"	"the"	"creative"	"power"	"of"	"observation"	"insight"	"and"	"intuition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"a"	"had"	"precaution"	"had_be"	"be_a"	"a_precaution"	"livery_stable_had_be"	"had_be_a"	"be_a_precaution"	"a_precaution_in_case"	"NN"	"VBD"	"VB"	"RB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"visit"	"to"	"livery_stable"	"had"	"be"	"merely"	"a"	"precaution"	"in_case"	"anyone"	"should"	"be"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"loosely"	"one"	"taped"	"one_,"	",_loosely"	"loosely_taped"	"left_one_,"	"one_,_loosely"	",_loosely_taped"	"loosely_taped_fragment"	"JJ"	"CD"	"ε"	"RB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"unwire"	"the"	"right-hand"	"door"	"whose"	"window"	"like"	"the"	"left"	"one"	"merely"	"loosely"	"taped"	"fragment"	"of"	"glass"	"and"	"person"	"wad"	"himself"	"into"	"a"	"narrow"	"seat"	"make"	"still"	"more"	"narrow"	"by"	"three"	"case"	"of"	"beer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"would"	"provide"	"measure"	"means"	"measure_would"	"would_provide"	"provide_means"	"the_measure_would"	"measure_would_provide"	"would_provide_means"	"provide_means_of"	"DT"	"NN"	"MD"	"RB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"tell"	"the"	"the"	"measure"	"would"	"merely"	"provide"	"means"	"of"	"enforce"	"the"	"escheat"	"law"	"which"	"has"	"be"	"on_the_books"	"since"	"texas"	"be"	"a"	"republic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"to"	"go_through_the_motions"	"how"	"''"	"how_to"	"to_go_through_the_motions"	"go_through_the_motions_''"	"know_how_to"	"how_to_go_through_the_motions"	"to_go_through_the_motions_''"	"go_through_the_motions_''_,"	"VB"	"WRB"	"TO"	"RB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"does"	"n't"	"how"	"to"	"merely"	"go_through_the_motions"	"remark"	"person"	"another"	"all-out"	"guy"	"who"	"play"	"rightfield"	"that"	"day"	"and"	"pop"	"one"	"over"	"the"	"clubhouse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
