"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:32:01::"	"he"	","	","	"does"	",_he"	"he_,"	",_does"	"how_,_he"	",_he_,"	"he_,_does"	",_does_one"	"WRB"	"ε"	"PRP"	"VB"	"ε"	"VBZ"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"wonder"	"does"	"one"	"enjoy"	"one"	"spare_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"i"	"if"	"``"	"they"	"``_i"	"i_if"	"if_they"	"∅_``_i"	"``_i_if"	"i_if_they"	"if_they_did"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"if"	"they"	"did"	"eat"	"each"	"at"	"the"	"end"	"owen"	"muse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"if"	"∅"	"he"	"∅_he"	"he_if"	"if_he"	"∅_∅_he"	"∅_he_if"	"he_if_he"	"if_he_might"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"if"	"he"	"might"	"bag"	"a"	"tourist"	"but"	"they"	"look"	"frightened"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"people"	"why"	"then"	"russian"	"then_people"	"people_why"	"why_russian"	"∅_then_people"	"then_people_why"	"people_why_russian"	"why_russian_pupils"	"ε"	"RB"	"NNS"	"VB"	"WRB"	"NNP"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"people"	"wonder"	"why"	"russian"	"pupils"	"be"	"more"	"advanced"	"than"	"american"	"students"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"mercer"	"how"	"∅"	"long"	"∅_mercer"	"mercer_how"	"how_long"	"∅_∅_mercer"	"∅_mercer_how"	"mercer_how_long"	"how_long_the"	"ε"	"ε"	"NNP"	"VB"	"WRB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"how"	"long"	"the"	"super-condamine"	"had"	"last"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"him"	"about"	"make"	"b"	"make_him"	"him_about"	"about_b"	",_make_him"	"make_him_about"	"him_about_b"	"about_b_'"	"ε"	"VB"	"PRP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secret"	"little"	"corner"	"of"	"his"	"mind"	"which"	"sane"	"through"	"happiness"	"and"	"pain"	"make"	"him"	"wonder"	"about"	"b"	"dikkat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"but"	"whether"	"cannot"	"these"	"cannot_but"	"but_whether"	"whether_these"	"one_cannot_but"	"cannot_but_whether"	"but_whether_these"	"whether_these_doubts"	"CD"	"MD"	"CC"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"but"	"wonder"	"whether"	"these"	"doubts"	"about"	"the"	"success"	"of"	"khrushchev"	"agricultural"	"policy"	"have"	"not"	"at_least"	"something"	"to"	"do"	"with"	"one"	"of"	"the"	"big"	"surprises"	"provide"	"by"	"this"	"congress"	"the"	"obsessive"	"harp"	"on"	"the"	"crimes"	"and"	"misdeeds"	"of"	"the"	"anti-party"	"group"	"molotov"	"malenkov"	"kaganovich"	"and_others"	"include"	"the"	"eighty-year-old"	"marshal_voroshilov"	
"2:32:01::"	"help"	"whether"	"cannot"	"molotov"	"cannot_help"	"help_whether"	"whether_molotov"	"one_cannot_help"	"cannot_help_whether"	"help_whether_molotov"	"whether_molotov_and"	"CD"	"MD"	"VB"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"help"	"wonder"	"whether"	"molotov"	"and"	"the"	"rest"	"of"	"the"	"anti-party"	"group"	"are"	"not"	"being"	"use"	"as"	"china"	"whipping-boys"	"by"	"khrushchev"	"and"	"his"	"faithful"	"followers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have"	"why"	"i"	"veterinarians"	"i_have"	"have_why"	"why_veterinarians"	"many_times_i_have"	"i_have_why"	"have_why_veterinarians"	"why_veterinarians_do"	"RB"	"PRP"	"VBP"	"VB"	"WRB"	"NNS"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"i"	"have"	"wonder"	"why"	"veterinarians"	"do"	"not"	"wipe"	"the"	"table"	"clean"	"before"	"each"	"new"	"canine"	"patient"	"is"	"place"	"on_it"	"for"	"examination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"may"	"whether"	"you"	"there"	"you_may"	"may_whether"	"whether_there"	",_you_may"	"you_may_whether"	"may_whether_there"	"whether_there_be"	"ε"	"PRP"	"MD"	"VB"	"IN"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"these"	"electrons"	"are"	"like"	"planets"	"you"	"may"	"wonder"	"whether"	"there"	"be"	"an"	"atomic"	"sun"	"at"	"the"	"center"	"of"	"the"	"atom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
