"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"2:30:00::"	"grader"	"pictures"	"first"	"one"	"first_grader"	"grader_pictures"	"pictures_one"	"a_first_grader"	"first_grader_pictures"	"grader_pictures_one"	"pictures_one_solid"	"DT"	"JJ"	"NN"	"VB"	"NNS"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"grader"	"color"	"pictures"	"one"	"solid"	"color"	"everything"	"sky"	"grass"	"boy"	"wagon"	"etc."	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"for"	"."	"concern"	"∅"	"concern_for"	"for_."	"._∅"	"equal_concern_for"	"concern_for_."	"for_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"i"	"have"	"seem"	"to"	"emphasize"	"the"	"structure"	"of"	"composition"	"i"	"mean"	"to"	"project"	"equal"	"concern"	"for"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"top-quality"	":"	"consist_of"	"∅"	"consist_of_top-quality"	"top-quality_:"	":_∅"	"palette_consist_of_top-quality"	"consist_of_top-quality_:"	"top-quality_:_∅"	":_∅_∅"	"NN"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"usual"	"consist_of"	"top-quality"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"give"	"even"	"which"	"when"	"which_give"	"give_even"	"even_when"	"material_which_give"	"which_give_even"	"give_even_when"	"even_when_present"	"NN"	"WDT"	"VB"	"NN"	"RB"	"WRB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stain"	"which"	"include"	"the"	"wide"	"of"	"nonparticulate"	"material"	"which"	"give"	"color"	"even"	"when"	"present"	"in"	"very"	"low"	"concentration"	"on"	"the"	"soiled"	"object"	
"1:14:00::"	"of"	"."	"because"	"∅"	"because_of"	"of_."	"._∅"	"employment_because_of"	"because_of_."	"of_._∅"	"._∅_∅"	"NN"	"IN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"volume"	"of"	"group"	"case"	"will"	"decrease"	"person"	"report"	"when"	"the"	"community"	"be"	"able"	"to"	"deal"	"effectively"	"with"	"two"	"problem"	"limited"	"skill"	"and"	"discrimination"	"in"	"employment"	"because"	"of"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"and"	","	"wide-screen"	"which"	"wide-screen_and"	"and_,"	",_which"	"in_wide-screen_and"	"wide-screen_and_,"	"and_,_which"	",_which_open"	"VB"	"JJ"	"CC"	"NN"	"ε"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"truly"	"odd"	"and"	"ironic"	"that"	"the"	"most"	"handsome"	"and"	"impressive"	"film"	"yet"	"make"	"from"	"person"	"don_quixote"	"be"	"the"	"russian"	"spectacle"	"do"	"in"	"wide-screen"	"and"	"color"	"which"	"open"	"yesterday"	"at"	"the"	"location"	"and"	"group"	"0"	"0"	
"1:07:00::"	"minute"	"film"	"ten"	"called"	"ten_minute"	"minute_film"	"film_called"	"nice_ten_minute"	"ten_minute_film"	"minute_film_called"	"film_called_``"	"JJ"	"JJ"	"NN"	"NN"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"on"	"the"	"bill"	"at"	"location"	"be"	"a"	"nice"	"ten"	"minute"	"color"	"film"	"called"	"sunday_in_greenwich_village"	"a"	"tour"	"of"	"the"	"haunt"	"and"	"joint"	
"1:07:00::"	"same"	"as"	"the"	"person"	"the_same"	"same_as"	"as_person"	",_the_same"	"the_same_as"	"same_as_person"	"as_person_'s"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_meantime"	"six"	"sandal"	"stained"	"an"	"the"	"same"	"color"	"as"	"person"	"shaved"	"hair"	"edge_up"	"close"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"∅"	"on"	"∅"	"the"	"∅_∅"	"∅_on"	"on_the"	"∅_∅_∅"	"∅_∅_on"	"∅_on_the"	"on_the_towel"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"towel"	"had"	"run"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"and"	"be"	"textile"	"also"	"textile_and"	"and_be"	"be_also"	",_textile_and"	"textile_and_be"	"and_be_also"	"be_also_desirable"	"ε"	"NN"	"CC"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"considerable"	"specialization"	"in"	"teaching"	"subject"	"such_as"	"furniture"	"design"	"textile"	"and"	"color"	"be"	"also"	"desirable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
